data_year,State,id,Total_Shootings
1994,IL,277,2803
1994,CO,278,8
1994,CO,279,0
1994,SC,280,1162
1994,ND,281,0
1994,VA,282,5
1994,VT,283,0
1994,VT,284,9
1994,VT,285,0
1994,VT,286,0
1994,VT,287,1
1994,VT,288,0
1994,VT,289,0
1994,VT,290,27
1994,VA,291,6
1994,VA,292,0
1994,VA,293,0
1994,VA,294,12
1994,VA,295,0
1994,VA,296,0
1994,VA,297,0
1994,VA,298,843
1994,UT,299,130
1994,UT,300,437
1994,UT,301,1
1994,UT,302,0
1994,UT,303,2
1994,UT,304,70
1994,UT,305,4
1994,UT,306,1
1994,UT,307,7
1994,UT,308,13
1994,UT,309,0
1994,VT,310,0
1994,VT,311,0
1994,UT,312,0
1994,VA,313,0
1994,VT,314,12
1994,VA,315,16
1994,VA,316,0
1995,ID,317,1
1995,ID,318,2
1995,ID,319,26
1995,ID,320,23
1995,ID,321,2
1995,ID,322,3
1995,ID,323,69
1995,ID,324,0
1995,ID,325,0
1995,ID,326,0
1995,ID,327,950
1995,ID,328,710
1995,UT,329,9
1995,VT,330,44
1995,UT,331,0
1995,UT,332,1
1995,UT,333,0
1995,UT,334,60
1995,UT,335,1
1995,UT,336,0
1995,UT,337,0
1995,UT,338,518
1995,VA,339,842
1995,VA,340,0
1995,VA,341,0
1995,VA,342,58
1995,UT,343,16
1995,MA,344,228
1995,MA,345,0
1995,VA,346,1
1995,ND,347,0
1995,ND,348,0
1995,ND,349,1
1995,ND,350,2
1995,ND,351,0
1995,ND,352,0
1995,ND,353,9
1995,ND,354,0
1995,ND,355,0
1995,ND,356,0
1995,ND,357,25
1995,MI,358,859
1995,MA,359,0
1995,IL,360,3
1995,UT,361,0
1995,UT,362,0
1995,MA,363,222
1995,MA,364,0
1995,MA,365,0
1995,MA,366,0
1995,MA,367,171
1995,MA,368,2
1995,MA,369,0
1995,MA,370,3
1995,MA,371,7
1995,MA,372,2
1995,UT,373,152
1995,VA,374,0
1995,VA,375,0
1995,VA,376,5
1995,VA,377,15
1995,VT,378,4
1995,IL,379,1
1995,IL,380,0
1995,VT,381,0
1995,VT,382,0
1995,VT,383,0
1995,SC,384,4847
1995,SC,385,0
1995,SC,386,2
1995,SC,387,4
1995,SC,388,177
1995,SC,389,151
1995,SC,390,6
1995,SC,391,60
1995,SC,392,1878
1995,SC,393,1
1995,SC,394,0
1995,SC,395,7
1995,SC,396,859
1995,VT,397,2
1995,VT,398,3
1995,VT,399,4
1995,VT,400,3
1995,VT,401,0
1995,VA,402,80
1995,IA,403,635
1995,MI,404,7
1995,IA,405,0
1995,MI,406,0
1995,ND,407,10
1995,MI,408,2
1995,MI,409,0
1995,MI,410,22
1995,IA,411,2
1995,MI,412,933
1995,MI,413,9
1995,IA,414,855
1995,IA,415,1
1995,MI,416,1
1995,IA,417,0
1995,IA,418,314
1995,IA,419,13
1995,IA,420,2
1995,IA,421,24
1995,MI,422,1
1995,MI,423,1
1995,IA,424,9
1995,MI,425,0
1995,VA,426,0
1995,VA,427,0
1995,VA,428,1
1995,IA,429,0
1995,MI,430,353
1996,MI,431,15
1996,MI,432,0
1996,MI,433,1388
1996,MI,434,6
1996,MI,435,1
1996,MI,436,728
1996,MI,437,1252
1996,MI,438,1
1996,MI,439,1
1996,MI,440,22
1996,MI,441,44
1996,MI,442,0
1996,MN,443,0
1996,MI,444,4
1996,VA,445,1
1996,VA,446,1
1996,IA,447,9
1996,IA,448,1
1996,IA,449,30
1996,IA,450,13
1996,IA,451,0
1996,IA,452,0
1996,IA,453,439
1996,VT,454,22
1996,VT,455,0
1996,VT,456,1
1996,IA,457,246
1996,VT,458,5
1996,VT,459,1
1996,VT,460,0
1996,VT,461,0
1996,VT,462,2
1996,VT,463,7
1996,IL,464,0
1996,IL,465,0
1996,IL,466,1
1996,IL,467,0
1996,IL,468,3
1996,VT,469,4
1996,IA,470,0
1996,IA,471,0
1996,IA,472,1
1996,MA,473,308
1996,MA,474,0
1996,MA,475,0
1996,MA,476,1
1996,MA,477,227
1996,VA,478,0
1996,MA,479,2
1996,MA,480,14
1996,MA,481,16
1996,MA,482,0
1996,MA,483,1
1996,MA,484,421
1996,VA,485,0
1996,VA,486,197
1996,VA,487,6
1996,ID,488,637
1996,VA,489,26
1996,VA,490,17
1996,VA,491,1
1996,VA,492,0
1996,VA,493,0
1996,VA,494,141
1996,IA,495,667
1996,VA,496,1226
1996,ID,497,0
1996,MA,498,7
1996,ID,499,0
1996,SC,500,75
1996,SC,501,2724
1996,ID,502,0
1996,SC,503,0
1996,SC,504,8
1996,SC,505,937
1996,ID,506,5
1996,UT,507,156
1996,UT,508,0
1996,UT,509,0
1996,UT,510,10
1996,UT,511,9
1996,UT,512,0
1996,UT,513,4
1996,UT,514,67
1996,UT,515,2
1996,UT,516,0
1996,SC,517,9
1996,SC,518,217
1996,SC,519,203
1996,SC,520,12
1996,ID,521,546
1996,ID,522,0
1996,ID,523,0
1996,ND,524,24
1996,ND,525,0
1996,ND,526,0
1996,ND,527,0
1996,ND,528,9
1996,UT,529,2
1996,ND,530,0
1996,ND,531,4
1996,ND,532,2
1996,ND,533,0
1996,SC,534,5797
1996,SC,535,1
1996,SC,536,3
1996,ND,537,0
1996,ND,538,12
1996,ND,539,0
1996,UT,540,505
1996,SC,541,0
1996,ID,542,20
1996,ID,543,82
1996,ID,544,1
1996,ID,545,9
1996,ID,546,1
1997,TX,547,6
1997,TX,548,12
1997,TX,549,10
1997,TX,550,0
1997,TX,551,0
1997,TX,552,189
1997,TN,553,57
1997,SC,554,3
1997,TN,555,0
1997,TN,556,0
1997,TN,557,0
1997,CO,558,1183
1997,CO,559,0
1997,CO,560,0
1997,CO,561,4
1997,TX,562,148
1997,TX,563,0
1997,IL,564,0
1997,CO,565,343
1997,IA,566,2
1997,IA,567,0
1997,IA,568,1
1997,IA,569,284
1997,IA,570,6
1997,IA,571,2
1997,IA,572,15
1997,TX,573,0
1997,IA,574,14
1997,IA,575,0
1997,IA,576,0
1997,IA,577,464
1997,TX,578,153
1997,IL,579,2
1997,TX,580,3
1997,IL,581,0
1997,IA,582,2
1997,CO,583,22
1997,CO,584,58
1997,CO,585,34
1997,VT,586,0
1997,VT,587,3
1997,VT,588,0
1997,VT,589,0
1997,VT,590,13
1997,SC,591,1040
1997,SC,592,14
1997,VT,593,1
1997,SC,594,0
1997,SC,595,2921
1997,SC,596,54
1997,SC,597,10
1997,SC,598,200
1997,SC,599,250
1997,SC,600,5607
1997,SC,601,0
1997,SC,602,4
1997,CO,603,1
1997,VT,604,0
1997,VT,605,13
1997,SC,606,6
1997,TN,607,30
1997,TN,608,1
1997,TN,609,1
1997,TN,610,8
1997,TN,611,1
1997,TN,612,2
1997,VT,613,0
1997,TN,614,0
1997,TN,615,66
1997,CO,616,1
1997,CO,617,2
1997,CO,618,1
1997,CO,619,640
1997,IL,620,0
1997,IL,621,1
1997,TN,622,0
1997,IA,623,647
1997,ID,624,1
1997,ND,625,0
1997,MI,626,1640
1997,VA,627,292
1997,MA,628,335
1997,MA,629,0
1997,MA,630,0
1997,MA,631,0
1997,MA,632,330
1997,MI,633,2
1997,MA,634,3
1997,MA,635,11
1997,MA,636,13
1997,MA,637,0
1997,MA,638,5
1997,MA,639,445
1997,ND,640,11
1997,MI,641,6
1997,MA,642,0
1997,ND,643,0
1997,MI,644,0
1997,UT,645,0
1997,MI,646,76
1997,MI,647,37
1997,MI,648,2
1997,MI,649,1029
1997,MI,650,0
1997,MI,651,4
1997,MI,652,1
1997,UT,653,229
1997,MI,654,1745
1997,UT,655,102
1997,UT,656,9
1997,UT,657,0
1997,UT,658,11
1997,UT,659,11
1997,UT,660,1
1997,UT,661,5
1997,UT,662,3
1997,ND,663,1
1997,MI,664,17
1997,ND,665,0
1997,ID,666,505
1997,ID,667,0
1997,ID,668,722
1997,ID,669,2
1997,VA,670,2058
1997,ND,671,28
1997,UT,672,671
1997,ND,673,0
1997,VA,674,0
1997,VA,675,3
1997,VA,676,52
1997,VA,677,57
1997,VA,678,1
1997,VA,679,11
1997,VA,680,416
1997,VA,681,1
1997,VA,682,3
1997,VA,683,0
1997,VA,684,3
1997,ND,685,4
1997,ID,686,0
1997,ID,687,0
1997,ID,688,77
1997,ID,689,5
1997,ID,690,1
1997,ID,691,18
1997,ID,692,15
1997,ND,693,0
1997,ID,694,4
1997,UT,695,0
1997,ND,696,1
1997,ND,697,1
1997,ND,698,0
1997,ND,699,0
1997,UT,700,2
1998,CT,701,2
1998,IL,702,0
1998,CT,703,0
1998,ID,704,523
1998,CT,705,0
1998,CT,706,0
1998,CT,707,0
1998,CT,708,7
1998,CT,709,0
1998,ID,710,1
1998,ID,711,1
1998,CT,712,9
1998,VA,713,80
1998,ID,714,706
1998,WV,715,2
1998,VA,716,77
1998,VA,717,2
1998,VA,718,17
1998,VA,719,561
1998,VA,720,1
1998,VA,721,578
1998,VA,722,2
1998,VA,723,0
1998,VA,724,3
1998,VA,725,2654
1998,WV,726,92
1998,WV,727,0
1998,WV,728,0
1998,WV,729,5
1998,WV,730,9
1998,WV,731,1
