Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
740447,31-Dec-16,Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,0,0,0,N/A
738749,31-Dec-16,Texas,Houston,3704 Fannin Street,1,2,0,1,1,N/A
738041,30-Dec-16,Ohio,Mansfield,3230 Possum Run Rd,0,5,0,0,0,N/A
738576,30-Dec-16,Connecticut,Wallingford,95 S Turnpike Rd,2,3,0,0,2,N/A
736690,28-Dec-16,Georgia,Columbus,2914 10th Street,1,4,0,0,0,N/A
734157,25-Dec-16,Illinois,Chicago,8600 block of S Maryland Ave,3,4,0,0,0,N/A
735947,25-Dec-16,Alabama,Ozark,858 US-231,0,4,0,0,1,N/A
733599,25-Dec-16,New York,Mount Vernon,4 North 3rd Avenue,1,5,0,0,1,N/A
732927,24-Dec-16,North Carolina,Madison,490 K Ford Rd,0,7,0,0,0,N/A
733176,24-Dec-16,North Carolina,Wilson,2241 Banks Lane East,4,0,0,0,0,N/A
732263,23-Dec-16,Alabama,Birmingham,3813 Richard Arrington Boulevard North,1,3,0,0,1,N/A
732574,23-Dec-16,Illinois,Chicago,4900 block of W Hubbard,0,4,0,0,0,N/A
727759,17-Dec-16,Illinois,Chicago (Roseland),100 block of W 105th St,5,0,0,0,1,N/A
728286,17-Dec-16,North Carolina,Charlotte,4115 N. Tryon Street,0,4,0,0,2,N/A
727555,16-Dec-16,Illinois,Chicago,13th and South Kedzie,0,4,0,0,0,N/A
727544,16-Dec-16,Illinois,Chicago,4300 block of South Rockwell,2,2,0,0,0,N/A
724667,12-Dec-16,California,Sacramento,4800 block of Myrtle Avenue,1,3,0,0,3,N/A
723649,11-Dec-16,New York,Brooklyn,192 Knickerbocker Ave,0,4,0,0,0,N/A
723643,11-Dec-16,Florida,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,0,0,0,N/A
723292,11-Dec-16,Maryland,Baltimore,3916 South Hanover Street,0,5,0,0,0,N/A
725338,11-Dec-16,North Carolina,Rocky Mount,1200 block of East Highland Ave,0,4,0,0,0,N/A
725323,9-Dec-16,Texas,Channelview,15300 block of Market,4,0,0,0,0,N/A
722452,9-Dec-16,California,Fresno,842 Fresno Street,0,4,0,0,0,N/A
719128,5-Dec-16,New Mexico,Albuquerque,1532 Stagecoach Lane,3,1,1,0,0,N/A
717873,3-Dec-16,California,Los Angeles,91st Street and Western Avenue,0,6,0,0,0,N/A
717616,2-Dec-16,New Jersey,Bloomfield,3 1st Ave,0,6,0,0,0,N/A
716001,1-Dec-16,California,Clearlake Oaks,Pomo Rd,1,3,0,0,1,N/A
715101,30-Nov-16,Maryland,Baltimore,2901 Garrison Blvd,2,4,0,0,1,N/A
712796,28-Nov-16,Texas,Mission (Palmview),1840 West Palma Vista Drive,1,3,0,0,1,N/A
712776,28-Nov-16,California,Wilmington,1067 McDonald Avenue,0,4,0,0,0,N/A
713445,28-Nov-16,California,San Pedro,300 block of West 2nd Street,0,4,0,0,0,N/A
711597,27-Nov-16,Louisiana,New Orleans,100 block of Bourbon Street,1,9,0,0,3,N/A
711744,27-Nov-16,Missouri,Kansas City,Gregory and Prospect,0,7,0,0,0,N/A
710732,26-Nov-16,Illinois,Chicago,8800 block of S Exchange Ave,1,5,0,0,0,N/A
710467,25-Nov-16,Louisiana,New Orleans,Magnolia St and Felicity St,0,4,0,0,0,N/A
709370,24-Nov-16,Kentucky,Louisville,4501 W Broadway,2,4,0,0,0,N/A
709276,24-Nov-16,New York,Albany,77 Central Ave,1,3,0,0,1,N/A
708777,23-Nov-16,Mississippi,Olive Branch,928 Cross Road,0,4,0,0,1,N/A
708392,22-Nov-16,Florida,Clewiston,1068 Harlem Academy Ave,1,4,0,0,3,N/A
704568,18-Nov-16,Illinois,Chicago,5000 block of W Wabansia,0,4,0,0,0,N/A
703245,17-Nov-16,Tennessee,Dyersburg,160 Longfellow,1,7,0,0,1,N/A
699605,13-Nov-16,Florida,Jacksonville,5105 Cleveland Rd,3,2,0,0,1,N/A
699332,13-Nov-16,Texas,San Antonio,8000 Midcrown,0,4,0,0,0,N/A
700232,13-Nov-16,California,San Diego,3800 block of Marlborough Avenue,2,2,1,0,0,N/A
699316,13-Nov-16,Florida,Orlando,Conley Street and South Ivey Lane,0,4,0,0,0,N/A
699033,12-Nov-16,California,Sacramento,8600 block of Ardith Drive,1,5,0,0,0,N/A
700363,12-Nov-16,Missouri,Kansas City,21st St and Cleveland Ave,1,3,0,0,1,N/A
699303,12-Nov-16,Connecticut,Bridgeport,2500 Park Avenue,0,5,0,0,2,N/A
699863,11-Nov-16,Texas,Houston,7705 Channelside Street,0,4,0,0,0,N/A
698383,10-Nov-16,Texas,Houston,6610 S Sam Houston Pkwy W,1,3,0,0,1,N/A
697377,9-Nov-16,Illinois,Chicago,3400 block of W Monroe,1,3,0,0,0,N/A
696352,9-Nov-16,Tennessee,Memphis,1800 block of East Brooks Road,0,4,0,0,0,N/A
696917,9-Nov-16,Washington,Seattle,1524 3rd Ave,0,5,0,0,1,N/A
693438,5-Nov-16,Texas,San Antonio,10726 Perrin Beitel Rd,0,4,0,0,0,N/A
693401,5-Nov-16,South Carolina,Myrtle Beach,803 Main St,0,5,0,0,0,N/A
693624,5-Nov-16,Florida,Fort Lauderdale (Lauderhill),3135 W Broward Blvd,1,3,0,0,0,N/A
693374,5-Nov-16,California,Oakland,420 14th Street,0,6,0,2,2,N/A
693290,5-Nov-16,Illinois,Chicago,4800 block of North Winthrop,0,5,0,0,0,N/A
693307,4-Nov-16,Pennsylvania,Philadelphia,5451 Springfield Ave,0,4,0,0,0,N/A
692020,3-Nov-16,Illinois,Chicago,8000 block of S Shore Dr,2,2,0,0,1,N/A
692315,3-Nov-16,New Jersey,Orange,234 Cleveland Street,2,2,0,0,1,N/A
692025,2-Nov-16,Arkansas,Little Rock,2111 Bragg Street,1,4,0,0,2,N/A
691113,1-Nov-16,Tennessee,Memphis,5200 block of Zodiac Rd,1,5,0,0,1,N/A
689518,31-Oct-16,Louisiana,Shreveport,700 Block of W 68th St,0,4,0,0,0,N/A
688979,30-Oct-16,Ohio,Toledo,742 Junction Ave,0,4,0,0,0,N/A
689020,30-Oct-16,Maryland,Capitol Heights,6862 Walker Mill Rd,3,3,0,0,1,N/A
688841,30-Oct-16,New York,New York (Manhattan),135 Ridge Street,0,4,0,0,0,N/A
688577,30-Oct-16,New York,Newburgh,119 First Street,2,5,0,0,3,N/A
688592,30-Oct-16,Texas,San Antonio,2900 block of Aspen Meadow,0,5,0,0,1,N/A
689009,29-Oct-16,California,Los Angeles,1600 block of Century Boulevard,0,5,0,0,0,N/A
687940,29-Oct-16,Ohio,Dayton,2010 Cornell Ridge Dr,1,3,0,0,0,N/A
688210,29-Oct-16,California,Riverside,3500 block of Madison Street,0,4,0,0,0,N/A
688429,28-Oct-16,Mississippi,Jackson,200 block of Lorenz Blvd,0,6,0,0,1,N/A
687375,28-Oct-16,Florida,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,0,4,0,0,0,N/A
686312,27-Oct-16,Georgia,Jackson,600 block of Moccasin Gap Road,4,0,0,0,2,N/A
685379,25-Oct-16,Ohio,Dayton,3300 block of Riverside Dr,1,3,0,0,2,N/A
684130,25-Oct-16,Virginia,Roanoke,830 Campbell Avenue Southeast,1,3,1,0,0,N/A
683142,23-Oct-16,Oklahoma,Wellston,Highway 66 and N 3310 Rd,1,4,1,0,1,N/A
682298,22-Oct-16,California,Oakland,77th and Bancroft Avenues,0,7,0,0,0,N/A
679290,18-Oct-16,California,San Francisco,325 La Grande Ave,0,4,0,0,2,N/A
678438,17-Oct-16,Illinois,Chicago (Englewood),6700 block of South Winchester,1,4,0,0,0,N/A
677293,15-Oct-16,Alabama,Mobile,1800 block of St Stephens Road,0,5,0,0,0,N/A
676686,15-Oct-16,Illinois,Rockford,7801 East State St,1,5,0,0,0,N/A
676663,15-Oct-16,California,Los Angeles,2918 Rimpau Blvd,4,11,0,0,1,N/A
676376,14-Oct-16,Illinois,Chicago,3300 block of W Maypole Ave,1,6,0,0,0,N/A
675993,13-Oct-16,Illinois,Chicago,2700 block of West Lexington,0,4,0,0,0,N/A
672203,9-Oct-16,Michigan,Grand Rapids,1850 28th Street SE,1,8,0,0,1,N/A
672217,9-Oct-16,California,Sacramento,1696 Arden Way,1,3,0,0,0,N/A
671717,8-Oct-16,New York,Brooklyn,7301 3rd Ave,0,4,0,0,1,N/A
669777,4-Oct-16,Louisiana,New Orleans,3727 Ulloa Street,3,2,0,0,0,N/A
668407,3-Oct-16,Minnesota,Minneapolis,Fourth St and Hennepin Ave,0,4,0,0,1,N/A
667984,2-Oct-16,Texas,San Antonio,2600 South Flores Street,1,4,0,0,0,N/A
668279,1-Oct-16,Illinois,Pembroke Township,S 17250 East Rd,4,0,0,0,2,N/A
668352,1-Oct-16,California,Fresno,3200 block of East Clay Avenue,0,4,0,0,0,N/A
665995,29-Sep-16,California,San Francisco,400 block of Ellis St,1,3,0,0,1,N/A
663624,26-Sep-16,North Carolina,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,0,0,1,N/A
663789,26-Sep-16,Texas,Humble,21219 Grand Linden Ct,0,4,0,0,1,N/A
663106,26-Sep-16,Texas,Houston,5450 Weslayan St,0,6,1,0,0,N/A
662548,25-Sep-16,Illinois,Champaign,300 block of E. Green St,1,3,0,0,1,N/A
662342,24-Sep-16,Maryland,Baltimore,Greenmount Ave and Preston St,0,8,0,0,0,N/A
661703,23-Sep-16,Washington,Burlington,201 Cascade Mall Dr,5,0,0,0,1,N/A
657854,18-Sep-16,Pennsylvania,Philadelphia,3001 Castor Avenue,0,4,0,0,0,N/A
658226,18-Sep-16,Pennsylvania,Pittsburgh,1700 block of Brighton Pl,0,4,0,0,0,N/A
657863,18-Sep-16,Virginia,Lynchburg,421 Rivermont Ave,1,3,0,0,0,N/A
657634,17-Sep-16,District of Columbia,Washington,2600 block of Birney Pl SE,2,7,0,0,0,N/A
659289,17-Sep-16,Florida,Miami,20582 SW 119th Ave,0,6,0,0,3,N/A
657136,17-Sep-16,Florida,Orlando,3918 Columbia St,1,6,0,0,0,N/A
657151,17-Sep-16,Indiana,Indianapolis,2016 West 76th Street,2,2,0,0,0,N/A
656991,16-Sep-16,California,Los Angeles (Hollywood),555 N Heliotrope Dr,2,2,0,0,0,N/A
657023,16-Sep-16,Pennsylvania,Philadelphia,5100 block of Sansom St,1,5,1,0,0,N/A
655512,14-Sep-16,Texas,Humble,16000 block of Saybrook,1,3,0,0,0,N/A
654087,13-Sep-16,Indiana,Fort Wayne,1723 E Wayne St,3,2,0,0,0,N/A
653077,11-Sep-16,Louisiana,New Orleans,2349 S Claiborne Ave,1,5,0,0,0,N/A
652584,11-Sep-16,Missouri,Kansas City,500 block of Westport Rd,0,6,0,0,2,N/A
652561,11-Sep-16,Michigan,Saginaw,2207 Pierce Road,0,5,0,0,0,N/A
652606,11-Sep-16,North Carolina,New Bern,1100 block of Highway 70,0,5,0,0,0,N/A
652642,11-Sep-16,Indiana,Fort Wayne,3006 Holton Avenue,3,1,0,0,1,N/A
652759,11-Sep-16,New Jersey,Jersey City,87 Van Wagenen Ave,1,3,0,0,1,N/A
652175,10-Sep-16,Florida,Miami,3451 Northwest 36 Street,1,3,0,0,1,N/A
651957,8-Sep-16,Texas,Del Valle,8330 Linden Rd,4,0,0,0,0,N/A
651434,8-Sep-16,Arkansas,Hot Springs National Park (Hot Springs),300 block of Lacey St,1,4,0,0,2,N/A
648884,5-Sep-16,Illinois,Chicago,2700 block of W Lexington Ave,2,3,0,0,0,N/A
648490,5-Sep-16,Pennsylvania,Reading,600 block of Moss Street,0,4,0,0,0,N/A
647865,4-Sep-16,Virginia,Roanoke,1020 Orange Ave NE,1,10,0,0,0,N/A
646995,3-Sep-16,North Carolina,Wilmington,600 block of North 30th St,1,3,0,0,0,N/A
646855,3-Sep-16,Illinois,Chicago,100 block of North Seeley Avenue,0,4,0,0,0,N/A
644723,30-Aug-16,Georgia,Atlanta,400 Merritts Avenue NE,0,4,0,0,0,N/A
643824,30-Aug-16,Illinois,Chicago (Englewood),6800 block of South Ashland,0,4,0,0,0,N/A
641732,29-Aug-16,New Jersey,Egg Harbor City,907 White Horse Pike,1,1,0,4,6,N/A
641419,28-Aug-16,Texas,Lubbock,2200 block of 17th St,0,6,0,0,0,N/A
640677,28-Aug-16,New York,Bronx,514 E 156th St,0,4,0,0,0,N/A
640689,28-Aug-16,Missouri,Saint Louis,S Grand Blvd and Montana St,2,2,0,0,0,N/A
640861,28-Aug-16,Alabama,Dadeville,512 E Columbus St,0,5,0,0,0,N/A
640500,27-Aug-16,Alabama,Bessemer (Brighton),3810 7th Ave,1,6,0,0,3,N/A
640203,27-Aug-16,Florida,Miami,1900 block of NW 83rd Terr,2,4,0,0,0,N/A
640901,25-Aug-16,New Jersey,Bridgeton,Marion Street,0,5,0,0,0,N/A
634889,21-Aug-16,Massachusetts,Boston,Westview and Stratton Street,0,4,0,0,0,N/A
634787,21-Aug-16,Connecticut,Bridgeport,19 Plymouth St,0,13,0,0,0,N/A
634238,20-Aug-16,Connecticut,Hamden,903 Dixwell Ave,0,4,0,0,1,N/A
634731,20-Aug-16,Washington,Tacoma,900 block of Pacific Avenue,0,5,0,0,0,N/A
634819,20-Aug-16,Alabama,Citronelle,Jim Platt Road,5,0,0,0,1,N/A
632747,18-Aug-16,Connecticut,Waterbury,402 E Main Street,0,4,0,0,0,N/A
632753,17-Aug-16,California,Oakland,Mandela Parkway,0,4,0,0,0,N/A
630007,14-Aug-16,Virginia,Norfolk,1600 block of Selden Avenue,0,4,0,0,0,N/A
629415,14-Aug-16,Minnesota,Minneapolis,1717 Plymouth Ave N,0,5,0,0,0,N/A
629663,13-Aug-16,California,Los Angeles,6300 block of 11th Avenue,0,4,0,0,0,N/A
628570,13-Aug-16,Wisconsin,Milwaukee,4001 West Fond Du Lac Ave,2,2,0,0,0,N/A
628623,13-Aug-16,New York,Richmond Hill,Jamaica Ave and 105th St,0,4,0,0,2,N/A
628635,13-Aug-16,Missouri,Joplin,1800 Connecticut Ave,0,4,0,0,1,N/A
628178,12-Aug-16,Florida,Jacksonville,100 block of West 38th Street,1,3,0,0,1,N/A
627519,12-Aug-16,Texas,Dallas,10921 Estate Ln,1,3,0,0,1,N/A
627757,11-Aug-16,Pennsylvania,Philadelphia,500 block of E Ashmead St,0,4,0,0,0,N/A
626153,10-Aug-16,Illinois,Evanston,Foster Street and Jackson Avenue,0,4,0,0,0,N/A
626960,10-Aug-16,California,Sacramento,4000 Green Tree Drive,1,3,0,0,0,N/A
624273,8-Aug-16,Florida,Jacksonville,1214 Labelle St,0,7,0,0,0,N/A
625735,8-Aug-16,New Mexico,Albuquerque,341 General Marshall Street NE,2,2,0,0,3,N/A
624156,7-Aug-16,California,Los Angeles,5925 South Figueroa Street,1,3,0,0,0,N/A
623523,7-Aug-16,Colorado,Arvada,5400 block of Sheridan Boulevard,2,2,0,0,2,N/A
624046,7-Aug-16,Mississippi,Vicksburg,4460 Clay St,1,3,0,0,3,N/A
623439,7-Aug-16,Illinois,Chicago,100 block of South Springfield,0,4,0,0,0,N/A
623195,6-Aug-16,Pennsylvania,Reading (Sinking Spring),51 Winding Brook Drive,4,0,1,0,0,N/A
624057,5-Aug-16,Michigan,Pontiac,70 block of Thorpe Street,1,3,0,0,2,N/A
622500,5-Aug-16,California,Perris,21600 block of Rider St,2,2,0,0,0,N/A
621232,4-Aug-16,Tennessee,Memphis,Ayers Street and Griffith Avenue,0,4,0,0,0,N/A
620247,3-Aug-16,Georgia,Decatur,4110 Glenwood Road,1,3,0,0,0,N/A
619708,2-Aug-16,Florida,Hollywood (West Park),5700 block of Hallandale Beach Blvd,0,4,0,0,0,N/A
619408,1-Aug-16,Indiana,Evansville,South Bedford Avenue,0,4,0,0,1,N/A
617789,31-Jul-16,Florida,Miami,Southwest 203rd Terrace and 115th Avenue,3,1,0,0,1,N/A
617607,31-Jul-16,Texas,Austin,208 E 6th St,1,4,0,0,1,N/A
617712,30-Jul-16,Missouri,Saint Louis,5000 block of Kensington Ave,0,5,0,0,0,N/A
616948,30-Jul-16,Washington,Mukilteo,10009 Chennault Beach,3,1,0,0,1,N/A
618321,30-Jul-16,Georgia,Townsend (Eulonia),14699 Highway 17,0,5,0,0,0,N/A
617334,29-Jul-16,Georgia,Athens,Trail Creek St,0,7,0,0,1,N/A
615109,28-Jul-16,New York,Elmira,303 College Ave,0,5,0,0,1,N/A
615328,28-Jul-16,Maryland,Baltimore,Greenmount Avenue,0,4,0,0,0,N/A
615024,28-Jul-16,Illinois,Chicago,800 block of West 50th Place,2,2,0,0,0,N/A
611479,25-Jul-16,Florida,Fort Myers,3580 Evans Ave,2,18,0,1,6,N/A
610584,24-Jul-16,Ohio,Hamilton,1555 Main St,1,7,0,0,4,N/A
610756,23-Jul-16,South Carolina,North Charleston,3630 Ashley Phosphate Road,0,4,0,0,0,N/A
610093,23-Jul-16,Ohio,Cincinnati,3400 block of Beekman St,2,2,0,0,0,N/A
613805,23-Jul-16,New York,Brooklyn,Fountain Avenue,0,4,0,0,0,N/A
610379,23-Jul-16,Texas,Bastrop,202 Childers Drive,3,1,1,0,0,N/A
610402,22-Jul-16,Illinois,Kankakee,300 block of North Wildwood Avenue,0,5,0,0,0,N/A
609402,21-Jul-16,Illinois,Chicago,4400 block of South Leamington,0,5,0,0,0,N/A
608787,20-Jul-16,California,Fresno,5100 block of E Hedges Ave,0,4,0,0,0,N/A
607265,19-Jul-16,Arkansas,West Memphis,13th Street and Tyler Avenue,0,4,0,0,0,N/A
604762,17-Jul-16,Louisiana,Baton Rouge,9611 Airline Hwy,4,2,1,0,0,N/A
605367,17-Jul-16,Michigan,Detroit,Grand River and McGraw avenue,0,4,0,0,0,N/A
605475,17-Jul-16,Texas,Houston,Tidwell Rd and Homestead Rd,1,3,0,0,0,N/A
604459,16-Jul-16,Texas,Dallas,6300 block of Benavides Drive,0,5,0,0,0,N/A
604275,16-Jul-16,Ohio,Cleveland,5000 block of Euclid Avenue,0,5,0,0,0,N/A
604233,16-Jul-16,California,Bakersfield,621 Stephens Dr,1,14,0,0,0,N/A
605005,16-Jul-16,California,San Bernardino,1200 block of West 25th Street,0,4,0,0,0,N/A
604175,16-Jul-16,Tennessee,Clarksville,1348 College Street,0,6,0,0,0,N/A
604207,15-Jul-16,Washington,Woodland,4006 NW 417th Street,3,1,0,0,1,N/A
603475,14-Jul-16,Texas,Crosby,400 block of Pecan Avenue,3,1,0,0,0,N/A
603733,14-Jul-16,California,Oakland,1600 block of 7th Street,0,4,0,0,0,N/A
603738,14-Jul-16,Ohio,Akron,900 block of Moeller Avenue,1,3,0,0,0,N/A
602810,13-Jul-16,Georgia,Warner Robins,105 Magnolia Avenue,0,5,0,0,0,N/A
602765,13-Jul-16,Missouri,Saint Louis,3000 block of Miami St,2,2,0,0,1,N/A
600798,11-Jul-16,Maryland,Baltimore,1800 block of W. North Avenue,0,5,0,0,0,N/A
601119,11-Jul-16,Michigan,Jackson,500 block of Summit Avenue,0,4,0,0,0,N/A
600398,11-Jul-16,Michigan,Saint Joseph,811 Port St,2,2,1,0,0,N/A
601512,11-Jul-16,District of Columbia,Washington,5100 block of Call Pl SE,0,4,0,0,0,N/A
597366,7-Jul-16,Louisiana,Baton Rouge,2136 North Lobdell Avenue,0,4,0,0,0,N/A
