Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1582816,29-Dec-19,Illinois,Danville,1803 block of Westview Ave,0,5,0,0,0,N/A
1582197,29-Dec-19,New York,Buffalo,50 block of Henrietta Ave,1,3,0,0,0,N/A
1583444,29-Dec-19,California,Ceres,800 block of Allacante Dr,0,5,0,0,0,N/A
1581590,27-Dec-19,California,Modesto,1900 block of Vernon Ave,1,3,0,0,0,N/A
1581103,27-Dec-19,Texas,Houston,500 block of Smart St,2,7,0,0,4,N/A
1581476,27-Dec-19,Georgia,Kennesaw,1575 Ridenour Pkwy NW,0,4,0,0,0,N/A
1580308,26-Dec-19,Florida,Saint Petersburg,4300 6th St S,0,5,0,0,0,N/A
1579889,25-Dec-19,California,Oakland,2100 block of 34th Ave,0,4,0,0,0,N/A
1579970,25-Dec-19,Iowa,Coralville,954 Boston Way,1,3,0,0,2,N/A
1579856,25-Dec-19,Virginia,Richmond,1800 E Main St,1,3,0,0,0,N/A
1579266,24-Dec-19,Louisiana,New Orleans,6400 block of General Meyer Ave,0,4,0,0,0,N/A
1594317,24-Dec-19,Illinois,Joliet,1200 block of Cutter Ave,0,5,0,0,0,N/A
1579220,24-Dec-19,North Carolina,High Point,1226 Montlieu Ave,0,6,0,0,0,N/A
1577577,22-Dec-19,Maryland,Baltimore,225 Park Ave,0,7,0,0,0,N/A
1577688,22-Dec-19,Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,1,7,0,0,0,N/A
1577518,22-Dec-19,Illinois,Chicago,5700 block of S May St,0,12,0,1,2,N/A
1578711,21-Dec-19,Louisiana,Edgard,2555 LA-18,0,4,0,0,1,N/A
1577046,20-Dec-19,Mississippi,Waynesboro,Turner St,1,6,0,0,1,N/A
1577438,20-Dec-19,Alabama,Tuskegee,2900 block of Davison St,2,2,0,0,0,N/A
1575175,18-Dec-19,Texas,San Antonio,2418 SW Military Dr,0,4,0,0,4,N/A
1573754,17-Dec-19,Montana,Great Falls,1701 10th Ave S,3,1,1,0,0,N/A
1572275,15-Dec-19,Georgia,Columbus,600 block of 32nd St,1,4,0,0,0,N/A
1573471,14-Dec-19,California,Ivanhoe,15700 block of Paradise Ave,0,4,0,0,0,N/A
1571348,12-Dec-19,Missouri,Saint Louis (Moline Acres),9900 block of Lewis and Clark Blvd,1,3,0,0,1,N/A
1568230,10-Dec-19,New Jersey,Jersey City,223 Martin Luther King Dr,4,3,2,0,0,N/A
1567932,8-Dec-19,Texas,Desoto,200 block of W Wintergreen Rd,2,3,0,0,0,N/A
1567231,8-Dec-19,Louisiana,New Orleans,3801 Washington Ave,1,4,0,0,0,N/A
