Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
891092,15-Jul-17,Illinois,Chicago,12200 block of S Throop St,0,4,0,0,0,N/A
886564,9-Jul-17,Virginia,Lawrenceville,500 block of Sturgeon Rd,0,7,0,0,0,N/A
886002,8-Jul-17,Illinois,Alton,700 block of Oakwood Ave,0,4,0,0,1,N/A
886220,8-Jul-17,Ohio,Cincinnati,9917 Capstan Dr,1,8,0,0,4,N/A
884764,6-Jul-17,Mississippi,Meridian,Eighth Ave,0,4,0,0,3,N/A
883052,5-Jul-17,Georgia,Savannah,Jefferson Street and West St. Julian Street,0,4,0,0,1,N/A
883282,5-Jul-17,Illinois,Chicago (Roseland),11000 block of S Eberhart,2,2,0,0,0,N/A
883058,5-Jul-17,Maine,Madison,300 block of Russell Rd,3,1,1,0,0,N/A
882665,4-Jul-17,Florida,Orlando (Pine Castle),501 W Lancaster Rd,0,4,0,0,0,N/A
882321,4-Jul-17,Virginia,Hampton,500 block of Patterson Ave,1,4,0,0,0,N/A
883489,4-Jul-17,North Carolina,Raleigh,105 E South St,1,3,0,0,2,N/A
882422,3-Jul-17,Alabama,Prattville,112 US 82,3,1,0,0,2,N/A
881921,3-Jul-17,Michigan,Pontiac,50 block of Thorpe St,1,3,0,0,1,N/A
881700,2-Jul-17,New Jersey,Jersey City,Wilkinson Avenue,0,4,0,0,0,N/A
880738,2-Jul-17,South Carolina,Greenwood,SC 72 Bypass,0,4,0,0,1,N/A
879953,1-Jul-17,Arkansas,Little Rock,220 W 6th St,0,25,0,0,3,N/A
883656,1-Jul-17,Illinois,Momence,2727 S 13000 Rd E,0,4,0,0,0,N/A
880808,1-Jul-17,New Jersey,Newark,Lincoln Park and Pennsylvania Avenue,2,2,0,0,0,N/A
880813,1-Jul-17,California,Oakland,3200 Humboldt Ave,0,4,0,0,0,N/A
879412,30-Jun-17,New York,Bronx,1650 Grand Concourse,1,6,1,0,0,N/A
877295,27-Jun-17,Illinois,Chicago,200 block of S Lotus,0,5,0,0,0,N/A
876010,25-Jun-17,District of Columbia,Washington,5900 block of Southern Ave SE,0,4,0,0,0,N/A
875886,25-Jun-17,Missouri,Saint Louis,5000 block of Thekla Ave,1,3,0,0,0,N/A
874613,24-Jun-17,Florida,Fort Lauderdale,2335 NW 16th Ct,1,4,0,0,0,N/A
875322,24-Jun-17,New York,New York (Manhattan),114th St and Manhattan Ave,0,5,0,0,0,N/A
876076,24-Jun-17,New Jersey,Willingboro,Pastoral Lane,0,4,0,0,0,N/A
873847,22-Jun-17,Georgia,Atlanta,1100 block of Osborne Street,1,6,0,0,0,N/A
870095,18-Jun-17,Missouri,Saint Louis,1900 block of N 14th St,2,2,1,0,0,N/A
870222,18-Jun-17,District of Columbia,Washington,3100 block of Buena Vista Terrace SE,0,4,0,0,0,N/A
869877,18-Jun-17,Illinois,Chicago,3300 block of W Crystal St,0,4,0,0,0,N/A
869968,18-Jun-17,South Carolina,Myrtle Beach,311 N Ocean Blvd,0,6,0,1,1,N/A
869838,17-Jun-17,Illinois,Chicago,50 block of N Latrobe Ave,0,4,0,0,0,N/A
869357,17-Jun-17,Ohio,Columbus,6252 Busch Blvd,1,4,0,0,0,N/A
868042,15-Jun-17,Virginia,Richmond,4053 Old Brook Road,1,3,0,0,1,N/A
868363,15-Jun-17,New Mexico,La Madera,491 NM-111,5,0,0,0,1,N/A
866739,14-Jun-17,Virginia,Alexandria,420 E Monroe Ave,0,5,1,0,0,N/A
868147,14-Jun-17,Ohio,Canton,14th St NE and Gibbs Ave NE,0,4,0,0,0,N/A
866933,14-Jun-17,California,San Francisco,720 San Bruno,3,2,1,0,0,N/A
