latestAction,number,originChamber,title,type,updateDate,updateDateIncludingText
"{'actionDate': '2016-05-17', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",5034,House,"To nullify any generalized, routine or ongoing reporting requirement imposed on a person licensed under section 923 of title 18, United States Code, that is based on the geographic location in which the licensee is located or on the sale of multiple rifles or shotguns, or any specific type of rifle or shotgun, to the same person.",HR,2023-01-11,2023-01-11T13:31:35Z
"{'actionDate': '2016-05-16', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2934,Senate,Fix Gun Checks Act of 2016,S,2023-01-11,2023-01-11T13:32:54Z
"{'actionDate': '2016-04-21', 'text': 'Read twice and referred to the Committee on Energy and Natural Resources.'}",2841,Senate,Atlantic Seismic Airgun Protection Act,S,2023-01-11,2023-01-11T13:33:08Z
"{'actionDate': '2016-04-20', 'text': 'Referred to the House Committee on Rules.'}",694,House,Amending the Rules of the House of Representatives to require that a standing committee (or subcommittee thereof) hearing be held whenever there is a moment of silence in the House for a tragedy involving gun violence.,HRES,2023-01-11,2023-01-11T13:31:29Z
"{'actionDate': '2016-04-14', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2802,Senate,Protecting Gun Rights and Due Process Act,S,2023-01-11,2023-01-11T13:31:25Z
"{'actionDate': '2016-04-01', 'text': 'Referred to the Subcommittee on the Constitution and Civil Justice.'}",656,House,"Expressing the sense of the House of Representatives that the Senate should not confirm a nominee to the United States Supreme Court whose professional record or statements display opposition to the Second Amendment freedoms of law-abiding gun owners, including the fundamental, individual right to keep and bear arms as affirmed in the District of Columbia et al. v. Heller and McDonald et al. v. City of Chicago, Illinois, et al. cases.",HRES,2023-01-11,2023-01-11T13:31:47Z
"{'actionDate': '2016-03-23', 'text': 'Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education.'}",4214,House,Gun Violence Prevention and Safe Communities Act of 2015,HR,2023-01-11,2023-01-11T13:32:28Z
"{'actionDate': '2016-02-29', 'text': 'Referred to the Subcommittee on the Constitution and Civil Justice.'}",4399,House,Equal Access to Justice for Victims of Gun Violence Act,HR,2023-01-11,2023-01-11T13:32:13Z
"{'actionDate': '2016-02-25', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2594,Senate,A bill to provide for the discoverability and admissibility of gun trace information in civil proceedings.,S,2023-01-11,2023-01-11T13:31:58Z
"{'actionDate': '2016-02-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4379,House,Defending Gun Rights Against Executive Overreach Act,HR,2023-01-11,2023-01-11T13:32:16Z
"{'actionDate': '2016-02-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4356,House,Crackdown on Deadbeat Gun Dealers Act of 2016,HR,2023-01-11,2023-01-11T13:32:17Z
"{'actionDate': '2016-02-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4316,House,Gun Violence Reduction Resources Act of 2016,HR,2023-01-11,2023-01-11T13:32:19Z
"{'actionDate': '2016-01-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4278,House,Safer Neighborhoods Gun Buyback Act of 2015,HR,2023-01-11,2023-01-11T13:32:26Z
"{'actionDate': '2016-01-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4145,House,"To require the Comptroller General of the United States to conduct a study of, and report to the Congress on, secure gun storage or safety devices.",HR,2023-01-11,2023-01-11T13:32:31Z
"{'actionDate': '2016-01-08', 'text': 'Referred to the Subcommittee on Health.'}",4315,House,Mental Health Access and Gun Violence Prevention Act of 2016,HR,2023-01-11,2023-01-11T13:32:19Z
"{'actionDate': '2015-12-04', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",541,House,"Expressing support for designation of June 2016 as ""National Gun Violence Awareness Month"".",HRES,2023-01-11,2023-01-11T13:29:18Z
"{'actionDate': '2015-12-04', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4069,House,No Guns for Terrorists Act of 2015,HR,2023-01-11,2023-01-11T13:29:22Z
"{'actionDate': '2015-12-03', 'text': 'Referred to the Subcommittee on Disability Assistance and Memorial Affairs.'}",473,House,Expressing support for the designation of June as National Gun Violence Awareness Month and calling on Congress to address gun violence.,HRES,2023-01-11,2023-01-11T13:29:35Z
"{'actionDate': '2015-11-23', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3853,House,Gun Dealer Accountability Act,HR,2023-01-11,2023-01-11T13:29:36Z
"{'actionDate': '2015-11-23', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3830,House,Reducing Gun Violence in our Neighborhoods Act of 2015,HR,2023-01-11,2023-01-11T13:29:37Z
"{'actionDate': '2015-11-23', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3813,House,Domestic Violence Gun Homicide Prevention Act of 2015,HR,2023-01-11,2023-01-11T13:29:37Z
"{'actionDate': '2015-11-06', 'text': 'Referred to the Subcommittee on Health.'}",3926,House,Gun Violence Research Act,HR,2023-01-11,2023-01-11T13:29:26Z
"{'actionDate': '2015-10-22', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2198,Senate,Domestic Violence Gun Homicide Prevention Act of 2015,S,2023-01-11,2023-01-11T13:29:31Z
"{'actionDate': '2015-10-08', 'text': 'Referred to the House Committee on Rules.'}",467,House,Establishing the Select Committee on Gun Violence Prevention.,HRES,2023-01-11,2023-01-11T13:29:35Z
"{'actionDate': '2015-10-05', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3569,House,Good Neighbor Gun Dealer Act,HR,2023-01-11,2023-01-11T13:29:51Z
"{'actionDate': '2015-09-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3455,House,Gun Trafficking Prevention Act of 2015,HR,2023-01-11,2023-01-11T13:29:55Z
"{'actionDate': '2015-09-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3411,House,Fix Gun Checks Act of 2015,HR,2023-01-11,2023-01-11T13:30:17Z
"{'actionDate': '2015-08-05', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1977,Senate,Gun Violence Intervention Act of 2015,S,2023-01-11,2023-01-11T13:29:57Z
"{'actionDate': '2015-07-31', 'text': 'Referred to the Subcommittee on Commerce, Manufacturing, and Trade.'}",3224,House,Gun Look-Alike Case Act,HR,2023-01-11,2023-01-11T13:30:24Z
"{'actionDate': '2015-07-14', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1760,Senate,Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking and Crime Prevention Act of 2015,S,2023-01-11,2023-01-11T13:30:07Z
"{'actionDate': '2015-07-13', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1751,Senate,Handgun Purchaser Licensing Act,S,2023-01-11,2023-01-11T13:30:07Z
"{'actionDate': '2015-07-09', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2939,House,Enforce Existing Gun Laws Act,HR,2023-01-11,2023-01-11T13:30:49Z
"{'actionDate': '2015-07-09', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2871,House,Keeping Guns From Criminals Act,HR,2023-01-11,2023-01-11T13:30:51Z
"{'actionDate': '2015-07-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2732,House,Handgun Purchaser Licensing Act,HR,2023-01-11,2023-01-11T13:30:56Z
"{'actionDate': '2015-06-26', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2380,House,Gun Show Loophole Closing Act of 2015,HR,2023-01-11,2023-01-11T13:31:23Z
"{'actionDate': '2015-06-26', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2374,House,"Detectives Nemorin, Andrews and Moore Anti-Gun Trafficking Act of 2015",HR,2023-01-11,2023-01-11T13:31:23Z
"{'actionDate': '2015-06-25', 'text': 'Referred to the House Committee on Oversight and Government Reform.'}",59,House,Expressing support for designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and gun safety.,HCONRES,2023-01-11,2023-01-11T13:31:03Z
"{'actionDate': '2015-06-16', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2613,House,Handgun Trigger Safety Act of 2015,HR,2023-01-11,2023-01-11T13:31:01Z
"{'actionDate': '2015-06-16', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",289,House,"Expressing the sense of the House of Representatives that gun violence is a public health issue and Congress should enact by the end of the 114th Congress comprehensive Federal legislation that protects the Second Amendment and keeps communities safe and healthy, including expanding enforceable background checks for all commercial gun sales, improving the mental health system in the United States, and making gun trafficking and straw purchasing a Federal crime.",HRES,2023-01-11,2023-01-11T13:30:48Z
"{'actionDate': '2015-06-09', 'text': 'Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S3928)'}",1529,Senate,Crime Gun Tracing Act of 2015,S,2023-01-11,2023-01-11T13:30:43Z
"{'actionDate': '2015-06-05', 'text': 'Referred to the Subcommittee on Health.'}",2612,House,To authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.,HR,2023-01-11,2023-01-11T13:31:01Z
"{'actionDate': '2015-06-02', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",1473,Senate,A bill to authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.,S,2023-01-11,2023-01-11T13:30:45Z
"{'actionDate': '2015-06-02', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",1474,Senate,Handgun Trigger Safety Act of 2015,S,2023-01-11,2023-01-11T13:30:46Z
"{'actionDate': '2015-05-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",1858,House,Crime Gun Tracing Act,HR,2023-01-11,2023-01-11T13:27:40Z
"{'actionDate': '2015-04-21', 'text': 'Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law.'}",1488,House,Protecting Gun Owners in Bankruptcy Act of 2015,HR,2023-01-11,2023-01-11T13:28:05Z
"{'actionDate': '2015-02-05', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",368,House,Safe and Responsible Gun Transfer Act,HR,2023-01-11,2023-01-11T13:29:07Z
"{'actionDate': '2015-02-02', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",226,House,Keeping Guns from High Risk Individuals Act,HR,2023-01-11,2023-01-11T13:29:12Z
"{'actionDate': '2015-02-02', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",47,House,To ensure secure gun storage and gun safety devices.,HR,2023-01-11,2023-01-11T13:29:03Z
"{'actionDate': '2015-01-09', 'text': 'Referred to the Subcommittee on Health.'}",224,House,To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.,HR,2023-01-11,2023-01-11T13:29:12Z
"{'actionDate': '2014-12-23', 'text': 'Referred to the Subcommittee on Disability Assistance and Memorial Affairs.'}",5817,House,"To amend section 701 of the Veterans Access, Choice, and Accountability Act of 2014 to clarify the period of eligibility during which certain spouses are entitled to assistance under the Marine Gunnery Sergeant John David Fry Scholarship.",HR,2023-01-11,2023-01-11T13:25:12Z
"{'actionDate': '2014-09-26', 'text': 'Became Public Law No: 113-179.'}",1603,Senate,Gun Lake Trust Land Reaffirmation Act,S,2023-03-22,2023-03-22T18:49:23Z
"{'actionDate': '2014-07-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2676,Senate,Domestic Violence Gun Homicide Prevention Act of 2014,S,2023-01-11,2023-01-11T13:25:45Z
"{'actionDate': '2014-07-21', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4946,House,Crime Gun Tracing Act,HR,2023-01-11,2023-01-11T13:26:13Z
"{'actionDate': '2014-06-20', 'text': 'Referred to the House Committee on Oversight and Government Reform.'}",102,House,Expressing support for designation of June 21 as National ASK (Asking Saves Kids) Day to promote children's health and gun safety.,HCONRES,2023-01-11,2023-01-11T13:26:18Z
"{'actionDate': '2014-05-23', 'text': 'Referred to the Subcommittee on Health.'}",4707,House,To authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.,HR,2023-01-11,2023-01-11T13:26:27Z
"{'actionDate': '2014-05-21', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",2373,Senate,A bill to authorize the appropriation of funds to the Centers for Disease Control and Prevention for conducting or supporting research on firearms safety or gun violence prevention.,S,2023-01-11,2023-01-11T13:26:20Z
"{'actionDate': '2014-04-16', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4405,House,Preventing Gun Violence Act,HR,2023-01-11,2023-01-11T13:26:40Z
"{'actionDate': '2014-04-16', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",4380,House,Gun Confiscation and Registration Prevention Act,HR,2023-01-11,2023-01-11T13:26:41Z
"{'actionDate': '2014-03-20', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",468,House,"Expressing the sense of the House of Representatives that gun violence is a public health issue and Congress should enact by the end of the 113th Congress comprehensive Federal legislation that protects the Second Amendment and keeps communities safe and healthy, including expanding enforceable background checks for all commercial gun sales, improving the mental health system in the United States, and making gun trafficking and straw purchasing a Federal crime.",HRES,2023-01-11,2023-01-11T13:27:04Z
"{'actionDate': '2014-03-20', 'text': 'Referred to the Subcommittee on Regulatory Reform, Commercial And Antitrust Law.'}",3933,House,Protecting Gun Owners in Bankruptcy Act of 2014,HR,2023-01-11,2023-01-11T13:27:07Z
"{'actionDate': '2014-03-11', 'text': 'Read twice and referred to the Committee on Homeland Security and Governmental Affairs.'}",2105,Senate,Gun-Owner Registration Information Protection Act,S,2023-01-11,2023-01-11T13:26:46Z
"{'actionDate': '2014-02-27', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",2068,Senate,Handgun Trigger Safety Act of 2014,S,2023-01-11,2023-01-11T13:26:54Z
"{'actionDate': '2013-10-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",3018,House,Gun Violence Prevention and Safe Communities Act of 2013,HR,2023-01-11,2023-01-11T13:24:17Z
"{'actionDate': '2013-09-13', 'text': 'Referred to the Subcommittee on Health, Employment, Labor, and Pensions.'}",2910,House,Gun Violence Prevention and Reduction Act of 2013,HR,2023-01-11,2023-01-11T13:24:20Z
"{'actionDate': '2013-09-13', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2665,House,To ensure secure gun storage and gun safety devices.,HR,2023-01-11,2023-01-11T13:24:34Z
"{'actionDate': '2013-09-13', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",318,House,"Expressing disapproval over the gun violence plaguing America's communities, and calling on the Congress to enact comprehensive gun reforms that reduce gun violence.",HRES,2023-01-11,2023-01-11T13:24:25Z
"{'actionDate': '2013-07-25', 'text': 'Sponsor introductory remarks on measure. (CR S5962)'}",1337,Senate,Crime Gun Tracing Act of 2013,S,2023-01-11,2023-01-11T13:24:23Z
"{'actionDate': '2013-07-18', 'text': 'Forwarded by Subcommittee to Full Committee (Amended) by Voice Vote .'}",2210,House,Marine Gunnery Sergeant John David Fry Scholarship Improvements Act of 2013,HR,2022-11-15,2022-11-15T16:33:41Z
"{'actionDate': '2013-07-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2567,House,Child Handgun Safety Act,HR,2023-01-11,2023-01-11T13:24:44Z
"{'actionDate': '2013-07-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2408,House,To prohibit the Department of Justice from tracking and cataloguing the purchases of multiple rifles and shotguns.,HR,2023-01-11,2023-01-11T13:24:49Z
"{'actionDate': '2013-07-15', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2277,House,To eliminate the sporting purposes distinction in the gun laws.,HR,2023-01-11,2023-01-11T13:24:53Z
"{'actionDate': '2013-06-24', 'text': 'Placed on the Union Calendar, Calendar No. 89.'}",1691,House,Chocolate Mountain Aerial Gunnery Range Transfer Act of 2013,HR,2023-01-11,2023-01-11T13:23:18Z
"{'actionDate': '2013-06-21', 'text': 'Referred to the Subcommittee on Health.'}",2465,House,To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.,HR,2023-01-11,2023-01-11T13:24:47Z
"{'actionDate': '2013-06-14', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",2005,House,Personalized Handgun Safety Act,HR,2023-01-11,2023-01-11T13:23:18Z
"{'actionDate': '2013-06-14', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",1728,House,Enforce Existing Gun Laws Act,HR,2023-01-11,2023-01-11T13:23:16Z
"{'actionDate': '2013-06-12', 'text': ""Committee on Veterans' Affairs. Hearings held. Hearings printed: S.Hrg. 113-111.""}",515,Senate,"A bill to amend title 38, United States Code, to extend the Yellow Ribbon G.I. Education Enhancement Program to cover recipients of Marine Gunnery Sergeant John David Fry scholarship, and for other purposes.",S,2022-11-15,2022-11-15T16:33:11Z
"{'actionDate': '2013-05-08', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",903,Senate,Alien Gun Violence Prevention Act of 2013,S,2023-01-11,2023-01-11T13:24:59Z
"{'actionDate': '2013-04-08', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",868,House,Safer Neighborhoods Gun Buyback Act of 2013,HR,2022-11-15,2022-11-15T16:34:48Z
"{'actionDate': '2013-04-08', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",722,House,Detectives Nemorin and Andrews Anti-Gun Trafficking Act of 2013,HR,2022-11-15,2022-11-15T16:34:47Z
"{'actionDate': '2013-04-08', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",965,House,"To prohibit the possession or transfer of junk guns, also known as Saturday Night Specials.",HR,2019-11-15,2019-11-15T21:32:47Z
"{'actionDate': '2013-04-02', 'text': 'Referred to the Subcommittee on Economic Opportunity.'}",1400,House,"To amend title 38, United States Code, to clarify that children of certain veterans are eligible for the Marine Gunnery Sergeant John David Fry scholarship.",HR,2019-11-15,2019-11-15T21:41:34Z
"{'actionDate': '2013-03-12', 'text': 'Placed on Senate Legislative Calendar under General Orders. Calendar No. 25.'}",374,Senate,Fix Gun Checks Act of 2013,S,2022-11-15,2022-11-15T16:33:39Z
"{'actionDate': '2013-02-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",452,House,Gun Trafficking Prevention Act of 2013,HR,2021-09-27,2021-09-27T20:55:33Z
"{'actionDate': '2013-02-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",431,House,Gun Transparency and Accountability (Gun TRAC) Act of 2013,HR,2022-11-15,2022-11-15T16:33:31Z
"{'actionDate': '2013-02-12', 'text': 'Committee on the Judiciary Senate Subcommittee on Constitution, Civil Rights and Human Rights. Hearings held. With printed Hearing: S.Hrg. 113-870.'}",179,Senate,Gun Trafficking Prevention Act of 2013,S,2022-03-03,2022-03-03T21:28:40Z
"{'actionDate': '2013-01-25', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",236,House,Crackdown on Deadbeat Gun Dealers Act of 2013,HR,2021-09-27,2021-09-27T20:49:29Z
"{'actionDate': '2013-01-25', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",141,House,Gun Show Loophole Closing Act of 2013,HR,2022-11-15,2022-11-15T16:34:41Z
"{'actionDate': '2013-01-25', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",137,House,Fix Gun Checks Act of 2013,HR,2022-11-15,2022-11-15T16:33:23Z
"{'actionDate': '2013-01-25', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",117,House,Handgun Licensing and Registration Act of 2013,HR,2022-11-15,2022-11-15T16:33:12Z
"{'actionDate': '2013-01-25', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",65,House,Child Gun Safety and Gun Access Prevention Act of 2013,HR,2019-11-15,2019-11-15T21:32:50Z
"{'actionDate': '2013-01-25', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, And Investigations.'}",21,House,NRA Members' Gun Safety Act of 2013,HR,2022-11-15,2022-11-15T16:34:43Z
"{'actionDate': '2013-01-22', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",22,Senate,Gun Show Background Check Act of 2013,S,2022-11-15,2022-11-15T16:34:55Z
"{'actionDate': '2013-01-22', 'text': 'Referred to the House Committee on the Judiciary.'}",332,House,Equal Access to Justice for Victims of Gun Violence Act,HR,2021-09-27,2021-09-27T20:52:00Z
"{'actionDate': '2012-12-31', 'text': 'Referred to the House Committee on the Judiciary.'}",6725,House,NRA Members' Gun Safety Act of 2012,HR,2019-11-15,2019-11-15T21:32:37Z
"{'actionDate': '2012-08-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6195,House,Detectives Nemorin and Andrews Anti-Gun Trafficking Act of 2012,HR,2019-11-15,2019-11-15T21:31:59Z
"{'actionDate': '2012-02-28', 'text': 'Referred to the Subcommittee on National Parks, Forests and Public Lands.'}",4063,House,Guns-Free National Parks Act of 2012,HR,2019-11-15,2019-11-15T21:28:18Z
"{'actionDate': '2012-02-16', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",3814,House,To prohibit the Department of Justice from tracking and cataloguing the purchases of multiple rifles and shotguns.,HR,2019-11-15,2019-11-15T21:32:31Z
"{'actionDate': '2011-12-08', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",1973,Senate,Gun Trafficking Prevention Act of 2012,S,2019-02-23,2019-02-23T20:38:51Z
"{'actionDate': '2011-11-15', 'text': 'Committee on the Judiciary Senate Subcommittee on Crime and Terrorism. Hearings held. With printed Hearing: S.Hrg. 112-942.'}",436,Senate,Fix Gun Checks Act of 2011,S,2019-11-15,2019-11-15T22:01:05Z
"{'actionDate': '2011-08-25', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",2554,House,Stop Gun Trafficking and Strengthen Law Enforcement Act of 2011,HR,2023-01-11,2023-01-11T13:22:45Z
"{'actionDate': '2011-07-11', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",1552,House,Preventing Gun Violence Act,HR,2021-09-28,2021-09-28T13:33:54Z
"{'actionDate': '2011-06-01', 'text': 'Referred to the Subcommittee on Courts, Commercial and Administrative Law.'}",1181,House,Protecting Gun Owners in Bankruptcy Act of 2011,HR,2023-01-11,2023-01-11T13:20:18Z
"{'actionDate': '2011-06-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",1781,House,Fix Gun Checks Act of 2011,HR,2021-09-28,2021-09-28T13:39:28Z
"{'actionDate': '2011-03-14', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",570,Senate,A bill to prohibit the Department of Justice from tracking and cataloguing the purchases of multiple rifles and shotguns.,S,2021-12-20,2021-12-20T15:46:54Z
"{'actionDate': '2011-02-28', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",591,House,Gun Show Loophole Closing Act of 2011,HR,2023-01-11,2023-01-11T13:20:39Z
"{'actionDate': '2011-01-25', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",35,Senate,Gun Show Background Check Act of 2011,S,2023-01-11,2023-01-11T13:20:45Z
"{'actionDate': '2011-01-24', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",227,House,Child Gun Safety and Gun Access Prevention Act of 2011,HR,2023-01-11,2023-01-11T13:21:01Z
"{'actionDate': '2010-12-20', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",6137,House,Preventing Gun Violence Act,HR,2023-01-11,2023-01-11T13:21:36Z
"{'actionDate': '2010-09-20', 'text': 'Referred to the Subcommittee on Commercial and Administrative Law.'}",5827,House,Protecting Gun Owners in Bankruptcy Act of 2010,HR,2023-01-11,2023-01-11T13:21:54Z
"{'actionDate': '2010-07-27', 'text': 'Read twice and referred to the Committee on the Judiciary. (text of measure as introduced: CR S6305)'}",3654,Senate,Protecting Gun Owners in Bankruptcy Act of 2010,S,2023-01-11,2023-01-11T13:21:42Z
"{'actionDate': '2010-06-29', 'text': 'Referred to the Subcommittee on Healthy Families and Communities.'}",1365,House,"Commending the National Rifle Association for developing the Eddie Eagle GunSafe Program and teaching 23,000,000 children its lifesaving message.",HRES,2023-01-11,2023-01-11T13:20:03Z
"{'actionDate': '2010-03-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",4298,House,Gun Trafficking Prevention Act of 2009,HR,2023-01-11,2023-01-11T13:16:57Z
"{'actionDate': '2009-12-11', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2878,Senate,Gun Trafficking Prevention Act of 2009,S,2023-01-11,2023-01-11T13:16:50Z
"{'actionDate': '2009-10-26', 'text': 'Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S10741-10742; text as passed Senate: CR S10741-10742; text of measure as introduced: CR S10737-10738)'}",321,Senate,"A resolution commemorating the lives and work of Jesuit Fathers Ignacio Ellacuria, Ignacio Martin-Baro, Segundo Montes, Amando Lopez, Juan Ramon Moreno, Joaquin Lopez y Lopez, and housekeeper Julia Elba Ramos and her daughter Celina Mariset Ramos on the occasion of the 20th anniversary of their deaths on November 16, 1989, at the Universidad Centroamericana Jose Simeon Canas located in San Salvador, El Salvador.",SRES,2023-01-10,2023-01-10T17:00:55Z
"{'actionDate': '2009-10-21', 'actionTime': '12:24:47', 'text': 'Motion to reconsider laid on the table Agreed to without objection.'}",761,House,"Remembering and commemorating the lives and work of Jesuit Fathers Ignacio Ellacuria, Ignacio Martin-Baro, Segundo Montes, Amando Lopez, Juan Ramon Moreno, Joaquin Lopez y Lopez, and housekeeper Julia Elba Ramos and her daughter Celina Mariset Ramos on the occasion of the 20th anniversary of their deaths at the University of Central America Jose Simeon Canas located in San Salvador, El Salvador on November 16, 1989.",HRES,2023-01-11,2023-01-11T13:17:47Z
