latestAction,number,originChamber,title,type,updateDate,updateDateIncludingText
"{'actionDate': '2019-02-12', 'text': 'Referred to the Subcommittee on Research and Technology.'}",435,House,National Gun Violence Research Act,HR,2022-11-01,2022-11-01T13:49:18Z
"{'actionDate': '2019-02-08', 'text': 'Referred to the House Committee on Energy and Commerce.'}",1114,House,To require the Surgeon General of the Public Health Service to submit to Congress an annual report on the effects of gun violence on public health.,HR,2022-11-01,2022-11-01T16:03:00Z
"{'actionDate': '2019-02-06', 'text': 'Read twice and referred to the Committee on Homeland Security and Governmental Affairs.'}",351,Senate,Gun Owner Registration Information Protection Act,S,2022-11-01,2022-11-01T15:32:52Z
"{'actionDate': '2019-01-25', 'text': 'Referred to the Subcommittee on Health.'}",674,House,Gun Violence Prevention Research Act of 2019,HR,2022-11-01,2022-11-01T14:32:44Z
"{'actionDate': '2019-01-17', 'text': 'Read twice and referred to the Committee on Health, Education, Labor, and Pensions.'}",184,Senate,Gun Violence Prevention Research Act,S,2022-11-01,2022-11-01T14:32:42Z
"{'actionDate': '2019-01-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",167,House,To prohibit the transfer of a firearm at a gun show by a person who is not a licensed dealer.,HR,2022-11-01,2022-11-01T13:49:27Z
"{'actionDate': '2019-01-03', 'text': 'Referred to the Subcommittee on the Constitution, Civil Rights, and Civil Liberties.'}",157,House,Gun Manufacturers Accountability Act,HR,2022-11-01,2022-11-01T13:49:29Z
"{'actionDate': '2019-01-03', 'text': 'Referred to the Subcommittee on Crime, Terrorism, and Homeland Security.'}",33,House,Gun Trafficking Prohibition Act,HR,2022-11-01,2022-11-01T13:49:33Z
"{'actionDate': '2018-12-13', 'text': 'Referred to the House Committee on the Judiciary.'}",7310,House,"To amend the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the Attorney General to make grants to States and units of local government to deploy and implement gunfire detection and location technology, and for other purposes.",HR,2023-01-11,2023-01-11T13:40:47Z
"{'actionDate': '2018-12-12', 'text': 'Referred to the House Committee on the Judiciary.'}",7274,House,Keeping Guns From Criminals Act,HR,2023-01-11,2023-01-11T13:40:49Z
"{'actionDate': '2018-12-06', 'text': 'Referred to the House Committee on the Judiciary.'}",7219,House,No Guns for Terrorists Act of 2018,HR,2023-01-11,2023-01-11T13:40:51Z
"{'actionDate': '2018-10-09', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6654,House,To prohibit the transfer of a firearm at a gun show by a person who is not a licensed dealer.,HR,2023-01-11,2023-01-11T13:41:44Z
"{'actionDate': '2018-10-09', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6649,House,3D Printed Gun Safety Act of 2018,HR,2023-01-11,2023-01-11T13:41:44Z
"{'actionDate': '2018-10-01', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6629,House,No Guns for Abusers Act of 2018,HR,2023-01-11,2023-01-11T13:41:53Z
"{'actionDate': '2018-09-25', 'text': 'Referred to the Committee on the Judiciary, and in addition to the Committees on Education and the Workforce, and Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.'}",1076,House,Encouraging the House of Representatives to pass laws to prevent gun violence.,HRES,2023-01-11,2023-01-11T13:41:24Z
"{'actionDate': '2018-08-06', 'text': 'Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.'}",6278,House,AVERT Future Gun Violence Act,HR,2023-01-11,2023-01-11T13:42:16Z
