question_id,end_date,pollster,sample_size,population,politician,favorable,unfavorable,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable,results
178640,2023-08-08,YouGov,1500.0,a,Donald Trump,41.0,56.0,21.0,20.0,12.0,44.0,0
178641,2023-08-08,YouGov,1178.0,rv,Donald Trump,41.0,58.0,23.0,18.0,11.0,47.0,0
178646,2023-08-08,YouGov,1500.0,a,Joe Biden,44.0,53.0,20.0,24.0,13.0,40.0,0
178647,2023-08-08,YouGov,1178.0,rv,Joe Biden,45.0,53.0,23.0,22.0,11.0,42.0,0
178652,2023-08-08,YouGov,1500.0,a,Mike Pence,27.0,58.0,6.0,21.0,27.0,31.0,0
178653,2023-08-08,YouGov,1178.0,rv,Mike Pence,29.0,63.0,6.0,23.0,28.0,35.0,0
178655,2023-08-08,YouGov,1500.0,a,Ron DeSantis,37.0,45.0,13.0,24.0,10.0,35.0,0
178656,2023-08-08,YouGov,1178.0,rv,Ron DeSantis,41.0,49.0,16.0,25.0,10.0,39.0,0
178438,2023-08-03,Ipsos,1076.0,a,Donald Trump,30.0,59.0,,,,,0
178439,2023-08-03,Ipsos,1076.0,a,Joe Biden,33.0,52.0,,,,,0
178683,2023-08-03,Cygnal Political,2000.0,lv,Joe Biden,45.9,51.3,25.3,20.7,12.4,38.9,0
178684,2023-08-03,Cygnal Political,2000.0,lv,Donald Trump,45.4,51.6,28.6,16.8,9.5,42.1,0
178359,2023-08-01,YouGov,1500.0,a,Donald Trump,41.0,56.0,22.0,19.0,11.0,45.0,0
178360,2023-08-01,YouGov,1324.0,rv,Donald Trump,41.0,57.0,25.0,16.0,10.0,47.0,0
178365,2023-08-01,YouGov,1500.0,a,Joe Biden,42.0,55.0,18.0,24.0,12.0,43.0,0
178366,2023-08-01,YouGov,1324.0,rv,Joe Biden,43.0,55.0,20.0,23.0,11.0,44.0,0
178371,2023-08-01,YouGov,1500.0,a,Ron DeSantis,34.0,46.0,14.0,20.0,10.0,36.0,0
178372,2023-08-01,YouGov,1324.0,rv,Ron DeSantis,41.0,48.0,18.0,23.0,9.0,39.0,0
178192,2023-07-27,Echelon Insights,1013.0,lv,Vivek G. Ramaswamy,33.0,14.0,13.0,20.0,6.0,8.0,0
178193,2023-07-27,Echelon Insights,1013.0,lv,Tim Scott,30.0,19.0,9.0,20.0,7.0,12.0,0
178194,2023-07-27,Echelon Insights,1013.0,lv,Robert F. Kennedy,40.0,31.0,14.0,27.0,14.0,17.0,0
178195,2023-07-27,Echelon Insights,1013.0,lv,Nikki Haley,27.0,30.0,7.0,20.0,13.0,18.0,0
178196,2023-07-27,Echelon Insights,1013.0,lv,Ron DeSantis,36.0,46.0,13.0,23.0,11.0,35.0,0
178197,2023-07-27,Echelon Insights,1013.0,lv,Joe Biden,41.0,55.0,21.0,21.0,11.0,44.0,0
178198,2023-07-27,Echelon Insights,1013.0,lv,Donald Trump,41.0,57.0,25.0,16.0,10.0,47.0,0
178200,2023-07-27,Echelon Insights,1013.0,lv,Mike Pence,31.0,55.0,7.0,24.0,24.0,30.0,0
178300,2023-07-27,Siena College/NYT Upshot,1329.0,rv,Donald Trump,41.0,55.0,21.0,20.0,11.0,44.0,0
178301,2023-07-27,Siena College/NYT Upshot,1329.0,rv,Ron DeSantis,31.0,48.0,10.0,21.0,12.0,36.0,0
178302,2023-07-27,Siena College/NYT Upshot,1329.0,rv,Joe Biden,43.0,54.0,17.0,26.0,16.0,38.0,0
178304,2023-07-27,Siena College/NYT Upshot,1329.0,rv,Mike Pence,26.0,58.0,3.0,23.0,28.0,30.0,0
178305,2023-07-27,Siena College/NYT Upshot,1329.0,rv,Robert F. Kennedy,38.0,34.0,8.0,30.0,15.0,19.0,0
177721,2023-07-27,Gallup,1015.0,a,Joe Biden,41.0,57.0,,,,,0
178661,2023-07-27,Gallup,1015.0,a,Donald Trump,41.0,55.0,,,,,0
178664,2023-07-27,Gallup,1015.0,a,Ron DeSantis,37.0,48.0,,,,,0
178665,2023-07-27,Gallup,1015.0,a,Mike Pence,35.0,52.0,,,,,0
176115,2023-07-25,YouGov,1500.0,a,Donald Trump,40.0,57.0,22.0,18.0,12.0,45.0,0
176116,2023-07-25,YouGov,1306.0,rv,Donald Trump,41.0,57.0,23.0,18.0,10.0,47.0,0
176121,2023-07-25,YouGov,1500.0,a,Joe Biden,44.0,53.0,21.0,23.0,12.0,41.0,0
176122,2023-07-25,YouGov,1306.0,rv,Joe Biden,46.0,52.0,23.0,23.0,11.0,41.0,0
178677,2023-07-24,Global Strategy Group/GBAO/Navigator Research,1000.0,rv,Joe Biden,42.0,57.0,16.0,25.0,14.0,43.0,0
178679,2023-07-24,Global Strategy Group/GBAO/Navigator Research,1000.0,rv,Donald Trump,39.0,60.0,22.0,16.0,9.0,51.0,0
178681,2023-07-24,Global Strategy Group/GBAO/Navigator Research,1000.0,rv,Ron DeSantis,33.0,48.0,11.0,22.0,11.0,37.0,0
176172,2023-07-24,McLaughlin,1000.0,lv,Joe Biden,42.0,55.0,19.0,23.0,14.0,41.0,0
176083,2023-07-22,Morning Consult,2000.0,rv,Robert F. Kennedy,40.0,34.0,,,,,0
176176,2023-07-22,WPA Intelligence,1000.0,lv,Joe Biden,41.0,53.0,17.0,24.0,12.0,41.0,0
176177,2023-07-22,WPA Intelligence,1000.0,lv,Donald Trump,34.0,61.0,19.0,15.0,11.0,50.0,0
175930,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Robert F. Kennedy,47.0,26.0,14.0,33.0,14.0,12.0,0
175931,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Donald Trump,45.0,49.0,26.0,19.0,12.0,37.0,0
175932,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Ron DeSantis,40.0,37.0,15.0,26.0,13.0,24.0,0
175933,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Joe Biden,39.0,53.0,19.0,20.0,15.0,38.0,0
175935,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Mike Pence,37.0,44.0,11.0,26.0,23.0,21.0,0
175936,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Vivek G. Ramaswamy,34.0,18.0,13.0,21.0,9.0,9.0,0
175937,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Nikki Haley,33.0,28.0,10.0,23.0,14.0,14.0,0
175938,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Tim Scott,33.0,22.0,12.0,21.0,12.0,11.0,0
175939,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Chris Christie,27.0,39.0,7.0,20.0,21.0,17.0,0
175941,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Marianne Williamson,18.0,23.0,6.0,12.0,12.0,11.0,0
175942,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Asa Hutchinson,18.0,23.0,5.0,13.0,14.0,9.0,0
175943,2023-07-20,HarrisX/Harris Poll,2068.0,rv,Doug Burgum,14.0,17.0,4.0,9.0,9.0,8.0,0
177409,2023-07-18,NewsNation/Decision Desk HQ,1000.0,rv,Robert F. Kennedy,43.3,30.05,14.58,28.72,13.79,16.26,0
175713,2023-07-18,YouGov,1500.0,a,Donald Trump,42.0,57.0,22.0,19.0,11.0,46.0,0
175714,2023-07-18,YouGov,1315.0,rv,Donald Trump,40.0,58.0,22.0,18.0,11.0,47.0,0
175719,2023-07-18,YouGov,1500.0,a,Joe Biden,42.0,56.0,19.0,23.0,12.0,44.0,0
175720,2023-07-18,YouGov,1315.0,rv,Joe Biden,44.0,55.0,20.0,24.0,10.0,45.0,0
175722,2023-07-18,YouGov,1500.0,a,Ron DeSantis,37.0,46.0,16.0,21.0,11.0,35.0,0
175723,2023-07-18,YouGov,1315.0,rv,Ron DeSantis,39.0,47.0,17.0,22.0,10.0,37.0,0
175780,2023-07-17,Quinnipiac,1809.0,rv,Donald Trump,38.0,57.0,,,,,0
175781,2023-07-17,Quinnipiac,1809.0,rv,Ron DeSantis,34.0,47.0,,,,,0
175782,2023-07-17,Quinnipiac,1809.0,rv,Nikki Haley,22.0,34.0,,,,,0
175783,2023-07-17,Quinnipiac,1809.0,rv,Mike Pence,22.0,59.0,,,,,0
175784,2023-07-17,Quinnipiac,1809.0,rv,Joe Biden,40.0,54.0,,,,,0
175785,2023-07-17,Quinnipiac,1809.0,rv,Tim Scott,24.0,22.0,,,,,0
175786,2023-07-17,Quinnipiac,1809.0,rv,Asa Hutchinson,9.0,22.0,,,,,0
175787,2023-07-17,Quinnipiac,1809.0,rv,Chris Christie,19.0,52.0,,,,,0
175788,2023-07-17,Quinnipiac,1809.0,rv,Vivek G. Ramaswamy,16.0,13.0,,,,,0
175789,2023-07-17,Quinnipiac,1809.0,rv,Larry A. Elder,16.0,14.0,,,,,0
175790,2023-07-17,Quinnipiac,1809.0,rv,Doug Burgum,3.0,7.0,,,,,0
175791,2023-07-17,Quinnipiac,1809.0,rv,Francis Suarez,3.0,10.0,,,,,0
175792,2023-07-17,Quinnipiac,1809.0,rv,Will Hurd,4.0,10.0,,,,,0
175793,2023-07-17,Quinnipiac,1809.0,rv,Robert F. Kennedy,35.0,32.0,,,,,0
175794,2023-07-17,Quinnipiac,1809.0,rv,Marianne Williamson,9.0,20.0,,,,,0
175842,2023-07-17,YouGov,1638.0,a,Donald Trump,38.0,57.0,18.0,21.0,11.0,45.0,0
175844,2023-07-17,YouGov,1638.0,a,Ron DeSantis,30.0,48.0,12.0,18.0,12.0,36.0,0
175812,2023-07-17,Monmouth U.,840.0,rv,Donald Trump,36.0,63.0,15.0,21.0,13.0,50.0,0
175813,2023-07-17,Monmouth U.,840.0,rv,Joe Biden,43.0,57.0,18.0,25.0,13.0,44.0,0
175816,2023-07-17,Ipsos,4414.0,a,Joe Biden,41.0,57.0,14.0,27.0,19.0,39.0,0
175817,2023-07-17,Ipsos,4414.0,a,Donald Trump,40.0,58.0,19.0,21.0,14.0,44.0,0
175820,2023-07-17,Ipsos,4414.0,a,Ron DeSantis,37.0,50.0,11.0,25.0,21.0,29.0,0
175822,2023-07-17,Ipsos,4414.0,a,Robert F. Kennedy,54.0,35.0,10.0,42.0,23.0,12.0,0
175826,2023-07-17,Ipsos,4414.0,a,Marianne Williamson,16.0,24.0,3.0,13.0,15.0,8.0,0
175828,2023-07-17,Ipsos,4414.0,a,Vivek G. Ramaswamy,30.0,22.0,8.0,22.0,13.0,8.0,0
175869,2023-07-16,Pew,8480.0,a,Donald Trump,35.0,63.0,,,,,0
175871,2023-07-16,Pew,8480.0,a,Joe Biden,39.0,60.0,,,,,0
175947,2023-07-12,Rasmussen (Pulse Opinion Research),1026.0,lv,Donald Trump,51.0,47.0,28.0,23.0,11.0,36.0,0
176622,2023-07-12,Marquette Law School,1005.0,a,Joe Biden,42.0,56.0,,,,,0
176624,2023-07-12,Marquette Law School,1005.0,a,Robert F. Kennedy,36.0,27.0,,,,,0
176625,2023-07-12,Marquette Law School,1005.0,a,Marianne Williamson,6.0,16.0,,,,,0
176626,2023-07-12,Marquette Law School,1005.0,a,Chris Christie,17.0,49.0,,,,,0
176627,2023-07-12,Marquette Law School,1005.0,a,Ron DeSantis,31.0,48.0,,,,,0
176628,2023-07-12,Marquette Law School,1005.0,a,Larry A. Elder,15.0,11.0,,,,,0
176629,2023-07-12,Marquette Law School,1005.0,a,Nikki Haley,21.0,29.0,,,,,0
176630,2023-07-12,Marquette Law School,1005.0,a,Asa Hutchinson,9.0,15.0,,,,,0
176631,2023-07-12,Marquette Law School,1005.0,a,Mike Pence,26.0,58.0,,,,,0
176632,2023-07-12,Marquette Law School,1005.0,a,Vivek G. Ramaswamy,13.0,13.0,,,,,0
176633,2023-07-12,Marquette Law School,1005.0,a,Tim Scott,20.0,18.0,,,,,0
