question_id,end_date,pollster,sample_size,population,politician,favorable,unfavorable,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable,results
114577,2019-12-10,YouGov,1195,rv,Michael F. Bennet,14.0,29.0,4.0,10.0,12.0,17.0,0
114585,2019-12-10,YouGov,1198,rv,Michael Bloomberg,24.0,58.0,7.0,17.0,20.0,38.0,0
114589,2019-12-10,YouGov,1198,rv,Cory A. Booker,35.0,45.0,11.0,24.0,12.0,33.0,0
114593,2019-12-10,YouGov,1198,rv,Steve Bullock,14.0,27.0,3.0,11.0,11.0,16.0,0
114597,2019-12-10,YouGov,1202,rv,Pete Buttigieg,35.0,44.0,14.0,21.0,13.0,31.0,0
114601,2019-12-10,YouGov,1197,rv,Julián Castro,28.0,45.0,6.0,22.0,15.0,30.0,0
114605,2019-12-10,YouGov,1198,rv,John K. Delaney,11.0,31.0,3.0,8.0,13.0,18.0,0
114609,2019-12-10,YouGov,1202,rv,Tulsi Gabbard,25.0,45.0,6.0,19.0,21.0,24.0,0
114613,2019-12-10,YouGov,1202,rv,Amy Klobuchar,29.0,40.0,8.0,21.0,14.0,26.0,0
114617,2019-12-10,YouGov,1197,rv,Deval Patrick,14.0,31.0,4.0,10.0,11.0,20.0,0
114625,2019-12-10,YouGov,1196,rv,Tom Steyer,19.0,41.0,5.0,14.0,14.0,27.0,0
114633,2019-12-10,YouGov,1195,rv,Marianne Williamson,14.0,42.0,3.0,11.0,19.0,23.0,0
114637,2019-12-10,YouGov,1198,rv,Andrew Yang,32.0,41.0,8.0,24.0,17.0,24.0,0
114621,2019-12-10,YouGov,1201,rv,Bernard Sanders,42.0,51.0,20.0,22.0,12.0,39.0,0
114629,2019-12-10,YouGov,1204,rv,Elizabeth Warren,41.0,49.0,22.0,19.0,10.0,39.0,0
114581,2019-12-10,YouGov,1204,rv,Joseph R. Biden Jr.,42.0,52.0,20.0,22.0,14.0,38.0,1
114836,2019-12-10,YouGov,1203,rv,Donald Trump,45.0,54.0,12.0,6.0,48.0,,1
114530,2019-12-09,Quinnipiac University,1553,rv,Pete Buttigieg,31.0,29.0,,,,,0
114532,2019-12-09,Quinnipiac University,1553,rv,Amy Klobuchar,24.0,23.0,,,,,0
114534,2019-12-09,Quinnipiac University,1553,rv,Michael Bloomberg,21.0,40.0,,,,,0
114526,2019-12-09,Quinnipiac University,1553,rv,Bernard Sanders,44.0,48.0,,,,,0
114524,2019-12-09,Quinnipiac University,1553,rv,Joseph R. Biden Jr.,44.0,47.0,,,,,1
114528,2019-12-09,Quinnipiac University,1553,rv,Elizabeth Warren,38.0,45.0,,,,,0
114733,2019-12-09,Quinnipiac University,1553,rv,Donald Trump,40.0,57.0,,,,,1
114385,2019-12-08,Monmouth University,838,rv,Pete Buttigieg,34.0,35.0,13.0,21.0,13.0,22.0,0
114386,2019-12-08,Monmouth University,838,rv,Michael Bloomberg,26.0,54.0,7.0,19.0,21.0,33.0,0
114387,2019-12-08,Monmouth University,838,rv,Andrew Yang,25.0,28.0,4.0,21.0,11.0,17.0,0
114382,2019-12-08,Monmouth University,838,rv,Joseph R. Biden Jr.,43.0,50.0,18.0,25.0,16.0,34.0,1
114384,2019-12-08,Monmouth University,838,rv,Elizabeth Warren,40.0,50.0,18.0,22.0,11.0,39.0,0
114383,2019-12-08,Monmouth University,838,rv,Bernard Sanders,41.0,54.0,20.0,21.0,15.0,39.0,0
114673,2019-12-08,Monmouth University,838,rv,Donald Trump,46.0,52.0,33.0,13.0,5.0,47.0,1
114192,2019-12-03,YouGov,1196,rv,Michael Bloomberg,26.0,57.0,6.0,20.0,20.0,37.0,0
114196,2019-12-03,YouGov,1195,rv,Cory A. Booker,36.0,46.0,12.0,24.0,12.0,34.0,0
114200,2019-12-03,YouGov,1196,rv,Steve Bullock,15.0,26.0,4.0,11.0,10.0,16.0,0
114204,2019-12-03,YouGov,1194,rv,Pete Buttigieg,36.0,43.0,17.0,19.0,15.0,28.0,0
114208,2019-12-03,YouGov,1195,rv,Julián Castro,32.0,40.0,9.0,23.0,12.0,28.0,0
114212,2019-12-03,YouGov,1191,rv,John K. Delaney,14.0,31.0,3.0,11.0,13.0,18.0,0
114216,2019-12-03,YouGov,1194,rv,Tulsi Gabbard,26.0,44.0,5.0,21.0,21.0,23.0,0
114220,2019-12-03,YouGov,1194,rv,Kamala D. Harris,36.0,50.0,12.0,24.0,12.0,38.0,0
114224,2019-12-03,YouGov,1195,rv,Amy Klobuchar,28.0,41.0,9.0,19.0,18.0,23.0,0
114228,2019-12-03,YouGov,1193,rv,Deval Patrick,16.0,30.0,3.0,13.0,12.0,18.0,0
114236,2019-12-03,YouGov,1196,rv,Joe Sestak,10.0,25.0,2.0,8.0,10.0,15.0,0
114240,2019-12-03,YouGov,1197,rv,Tom Steyer,22.0,39.0,5.0,17.0,13.0,26.0,0
114248,2019-12-03,YouGov,1196,rv,Marianne Williamson,16.0,41.0,3.0,13.0,18.0,23.0,0
114252,2019-12-03,YouGov,1195,rv,Andrew Yang,33.0,38.0,9.0,24.0,16.0,22.0,0
114188,2019-12-03,YouGov,1198,rv,Joseph R. Biden Jr.,42.0,51.0,20.0,22.0,14.0,37.0,1
114232,2019-12-03,YouGov,1194,rv,Bernard Sanders,42.0,52.0,20.0,22.0,12.0,40.0,0
114244,2019-12-03,YouGov,1197,rv,Elizabeth Warren,41.0,49.0,22.0,19.0,10.0,39.0,0
114750,2019-12-03,YouGov,1198,rv,Donald Trump,47.0,52.0,34.0,13.0,5.0,47.0,1
114338,2019-11-29,Harris Poll,1859,rv,Pete Buttigieg,32.0,32.0,11.0,21.0,14.0,18.0,0
114340,2019-11-29,Harris Poll,1859,rv,Kamala D. Harris,31.0,43.0,8.0,23.0,15.0,28.0,0
114342,2019-11-29,Harris Poll,1859,rv,Michael Bloomberg,32.0,38.0,8.0,23.0,19.0,19.0,0
114332,2019-11-29,Harris Poll,1859,rv,Bernard Sanders,45.0,44.0,17.0,28.0,16.0,28.0,0
114336,2019-11-29,Harris Poll,1859,rv,Joseph R. Biden Jr.,44.0,44.0,15.0,29.0,19.0,25.0,1
114655,2019-11-29,Harris Poll,1859,rv,Donald Trump,42.0,54.0,24.0,18.0,11.0,43.0,1
114334,2019-11-29,Harris Poll,1859,rv,Elizabeth Warren,35.0,46.0,13.0,21.0,15.0,31.0,0
114030,2019-11-26,YouGov,1186,rv,Michael F. Bennet,18.0,24.0,5.0,13.0,10.0,14.0,0
114038,2019-11-26,YouGov,1187,rv,Michael Bloomberg,23.0,55.0,6.0,17.0,20.0,35.0,0
114042,2019-11-26,YouGov,1184,rv,Cory A. Booker,38.0,45.0,14.0,24.0,13.0,32.0,0
114046,2019-11-26,YouGov,1182,rv,Steve Bullock,17.0,25.0,4.0,13.0,11.0,14.0,0
114050,2019-11-26,YouGov,1187,rv,Pete Buttigieg,35.0,42.0,16.0,19.0,13.0,29.0,0
114054,2019-11-26,YouGov,1184,rv,Julián Castro,30.0,42.0,8.0,22.0,14.0,28.0,0
