enddate,samplesize,results,favorability_r,favorability_d
2019-07-01 00:00:00,1604.0,0,-8.000399999999999,-0.3335000000000008
2019-07-01 00:00:00,1604.0,0,-8.000399999999999,-2.000200000000003
2019-06-30 00:00:00,1466.0,0,-8.000399999999996,2.0000999999999998
2019-06-29 00:00:00,2182.0,0,-28.667399999999997,9.666600000000003
2019-06-29 00:00:00,2182.0,0,-28.667399999999997,5.333199999999998
2019-06-25 00:00:00,1104.0,0,-14.000399999999999,-1.666800000000002
2019-06-24 00:00:00,1991.0,0,-8.000399999999999,
2019-06-23 00:00:00,1996.0,0,-10.000499999999995,12.333299999999994
2019-06-18 00:00:00,1197.0,0,-18.000500000000002,-11.3337
2019-06-16 00:00:00,1992.0,0,-8.667099999999998,
2019-06-15 00:00:00,1000.0,0,-2.666800000000002,
2019-06-11 00:00:00,1102.0,0,-17.667099999999998,-14.667100000000005
2019-06-09 00:00:00,1991.0,0,-9.333799999999997,
2019-06-04 00:00:00,1185.0,0,-16.0004,-6.333599999999997
2019-06-02 00:00:00,1997.0,0,-8.000399999999999,
2019-05-31 00:00:00,902.0,0,-4.666900000000002,6.666999999999998
2019-05-30 00:00:00,1295.0,0,-20.3339,10.666599999999995
2019-05-28 00:00:00,1118.0,0,-20.0005,-4.666899999999998
2019-05-21 00:00:00,1107.0,0,-25.6673,-1.0000999999999998
2019-05-20 00:00:00,1078.0,0,-12.667300000000001,6.666999999999998
2019-05-19 00:00:00,1995.0,0,-10.000500000000002,
2019-05-14 00:00:00,1237.0,0,-20.0005,-3.666900000000002
2019-05-12 00:00:00,1995.0,0,-9.333799999999997,
2019-05-07 00:00:00,1162.0,0,-18.6672,-1.3335000000000008
2019-05-06 00:00:00,1990.0,0,-7.3337,
2019-05-01 00:00:00,1536.0,0,-25.334,15.666699999999999
2019-04-30 00:00:00,1068.0,0,-20.333799999999997,5.333299999999994
2019-04-29 00:00:00,1995.0,0,-8.667099999999998,
2019-04-28 00:00:00,913.0,0,-6.000299999999999,14.000100000000003
2019-04-28 00:00:00,913.0,0,-6.000299999999999,6.667000000000002
2019-04-23 00:00:00,1261.0,0,-20.0005,-2.3334999999999972
2019-04-21 00:00:00,1992.0,0,-10.667199999999998,7.333699999999997
2019-04-16 00:00:00,1183.0,0,-23.0006,-2.0001999999999995
2019-04-16 00:00:00,1005.0,0,-19.6672,-2.0001999999999995
2019-04-14 00:00:00,1998.0,0,-4.666900000000002,
2019-04-09 00:00:00,1263.0,0,-20.3339,0.6664999999999992
2019-04-07 00:00:00,1992.0,0,-10.000499999999995,
2019-04-02 00:00:00,1221.0,0,-25.333999999999996,4.666599999999999
2019-04-01 00:00:00,1945.0,0,-5.333600000000001,
2019-03-28 00:00:00,846.0,0,-6.667000000000002,
2019-03-26 00:00:00,1242.0,0,-19.6672,24.3335
2019-03-26 00:00:00,1242.0,0,-19.6672,9.666700000000006
2019-03-26 00:00:00,1978.0,0,-8.000399999999999,24.3335
2019-03-26 00:00:00,1978.0,0,-8.000399999999999,9.666700000000006
2019-03-26 00:00:00,1437.0,0,-34.33410000000001,24.3335
2019-03-26 00:00:00,1437.0,0,-34.33410000000001,9.666700000000006
2019-03-19 00:00:00,1278.0,0,-26.000600000000006,14.333399999999997
2019-03-17 00:00:00,1000.0,0,-5.333600000000004,
2019-03-17 00:00:00,914.0,0,-7.3337,
2019-03-17 00:00:00,1991.0,0,-8.000399999999999,
2019-03-12 00:00:00,1273.0,0,-21.667199999999998,8.0
2019-03-10 00:00:00,1994.0,0,-10.667199999999998,
2019-03-05 00:00:00,1298.0,0,-16.3338,
2019-03-03 00:00:00,1993.0,0,-8.000399999999999,
2019-02-26 00:00:00,1326.0,0,-20.667199999999998,
2019-02-24 00:00:00,1994.0,0,-8.000399999999999,
2019-02-20 00:00:00,1792.0,0,-29.667399999999994,27.333599999999997
2019-02-19 00:00:00,1914.0,0,-7.3337,12.000600000000002
2019-02-19 00:00:00,1310.0,0,-19.6672,12.000600000000002
2019-02-12 00:00:00,1004.0,0,-21.667199999999998,
2019-02-12 00:00:00,1276.0,0,-32.6674,
2019-02-10 00:00:00,1845.0,0,-5.333600000000001,10.667200000000001
2019-02-05 00:00:00,1289.0,0,-23.3339,
2019-02-02 00:00:00,933.0,0,-6.000299999999999,11.3339
2019-02-02 00:00:00,1993.0,0,-10.667200000000001,11.3339
2019-01-29 00:00:00,1303.0,0,-24.000599999999995,
2019-01-27 00:00:00,1997.0,0,-9.333799999999997,10.667199999999998
2019-01-22 00:00:00,1996.0,0,-10.000499999999995,10.667199999999998
2019-01-22 00:00:00,1254.0,0,-26.667300000000004,10.667199999999998
2019-01-21 00:00:00,760.0,0,-11.3339,
2019-01-16 00:00:00,1540.0,0,-28.000699999999995,28.6669
2019-01-15 00:00:00,1283.0,0,-20.667199999999998,
2019-01-14 00:00:00,1984.0,0,-8.000399999999999,11.333900000000003
2019-01-13 00:00:00,1209.0,0,-10.000500000000002,
2019-01-08 00:00:00,1295.0,0,-22.667299999999997,
2019-01-06 00:00:00,1989.0,0,-6.667000000000002,12.000600000000002
10/31/2016,24316.0,1,-9.134909999999998,-7.358600000000003
10/31/2016,24316.0,1,-9.134909999999998,-7.369070000000001
10/31/2016,24316.0,1,-9.134909999999998,-7.325099999999999
10/30/2016,1128.0,1,-5.270159999999997,-6.703409999999998
10/30/2016,1128.0,1,-5.270159999999997,-6.842010000000002
10/30/2016,1128.0,1,-5.270159999999997,-6.880389999999999
10/25/2016,2120.0,1,-7.791119999999999,-4.672559999999997
10/25/2016,2120.0,1,-7.791119999999999,-4.7742099999999965
