end_date,samplesize,results,favorability_r,favorability_d
2023-06-10,910.0,0,-16.6675,-14.000699999999998
2023-06-06,1500.0,0,-35.667500000000004,-23.333999999999996
2023-06-06,1500.0,0,-35.667500000000004,-22.334
2023-06-06,1315.0,0,-35.334199999999996,-23.333999999999996
2023-06-06,1315.0,0,-35.334199999999996,-22.334
2023-06-05,1001.0,0,-33.667500000000004,-33.0009
2023-06-05,1001.0,0,-33.667500000000004,-31.334200000000003
2023-06-05,1625.0,0,-35.0008,-33.0009
2023-06-05,1625.0,0,-35.0008,-31.334200000000003
2023-05-31,1500.0,0,-30.6674,-23.6674
2023-05-31,1500.0,0,-30.6674,-21.667399999999997
2023-05-31,1313.0,0,-32.3341,-23.6674
2023-05-31,1313.0,0,-32.3341,-21.667399999999997
2023-05-30,1520.0,0,-27.3341,
2023-05-30,1019.0,0,-23.3341,
2023-05-27,1961.0,0,-20.3339,-23.333999999999996
2023-05-25,1035.0,0,-34.3341,-34.6675
2023-05-23,1500.0,0,-8.000399999999999,-12.333800000000004
2023-05-23,1500.0,0,-8.000399999999999,-10.667100000000005
2023-05-23,1318.0,0,-8.000399999999999,-12.333800000000004
2023-05-23,1318.0,0,-8.000399999999999,-10.667100000000005
2023-05-22,1616.0,0,-10.667200000000001,-10.000499999999999
2023-05-21,1000.0,0,-39.3343,-33.3342
2023-05-20,1227.0,0,-13.334,-14.6674
2023-05-20,1227.0,0,-13.334,-13.334
2023-05-20,0.0,0,-11.333900000000003,-14.6674
2023-05-20,0.0,0,-11.333900000000003,-13.334
2023-05-18,2004.0,0,-6.000299999999999,-21.6672
2023-05-18,2004.0,0,-6.000299999999999,-26.700740000000003
2023-05-18,2004.0,0,-6.000299999999999,-14.6674
2023-05-18,2004.0,0,-6.000299999999999,-15.334099999999996
2023-05-18,2527.0,0,-18.36724,-21.6672
2023-05-18,2527.0,0,-18.36724,-26.700740000000003
2023-05-18,2527.0,0,-18.36724,-14.6674
2023-05-18,2527.0,0,-18.36724,-15.334099999999996
2023-05-18,1010.0,0,-15.334099999999996,-21.6672
2023-05-18,1010.0,0,-15.334099999999996,-26.700740000000003
2023-05-18,1010.0,0,-15.334099999999996,-14.6674
2023-05-18,1010.0,0,-15.334099999999996,-15.334099999999996
2023-05-18,833.0,0,-14.000699999999998,-21.6672
2023-05-18,833.0,0,-14.000699999999998,-26.700740000000003
2023-05-18,833.0,0,-14.000699999999998,-14.6674
2023-05-18,833.0,0,-14.000699999999998,-15.334099999999996
2023-05-16,1500.0,0,-11.667099999999998,-11.667100000000005
2023-05-16,1500.0,0,-11.667099999999998,-12.667100000000005
2023-05-16,1302.0,0,-9.333700000000004,-11.667100000000005
2023-05-16,1302.0,0,-9.333700000000004,-12.667100000000005
2023-05-14,1122.0,0,-8.667099999999998,-11.333899999999996
2023-05-13,1571.0,0,-20.001,-10.000499999999999
2023-05-09,1500.0,0,-15.667200000000005,-7.000399999999999
2023-05-09,1500.0,0,-15.667200000000005,-6.000399999999999
2023-05-09,1324.0,0,-16.667200000000005,-7.000399999999999
2023-05-09,1324.0,0,-16.667200000000005,-6.000399999999999
2023-05-08,1584.0,0,-21.334000000000003,-27.667399999999994
2023-05-08,1059.0,0,-21.334,-27.667399999999994
2023-05-08,1000.0,0,-34.0009,-27.667399999999994
2023-05-02,1500.0,0,-11.333699999999997,-16.6671
2023-05-02,1500.0,0,-11.333699999999997,-17.667199999999998
2023-05-02,1500.0,0,-11.333699999999997,-39.66759999999999
2023-05-02,1500.0,0,-11.333699999999997,-19.0006
2023-05-02,1357.0,0,-11.667100000000005,-16.6671
2023-05-02,1357.0,0,-11.667100000000005,-17.667199999999998
2023-05-02,1357.0,0,-11.667100000000005,-39.66759999999999
2023-05-02,1357.0,0,-11.667100000000005,-19.0006
2023-05-02,1208.0,0,-42.3343,-16.6671
2023-05-02,1208.0,0,-42.3343,-17.667199999999998
2023-05-02,1208.0,0,-42.3343,-39.66759999999999
2023-05-02,1208.0,0,-42.3343,-19.0006
2023-05-02,1050.0,0,25.333600000000004,-16.6671
2023-05-02,1050.0,0,25.333600000000004,-17.667199999999998
2023-05-02,1050.0,0,25.333600000000004,-39.66759999999999
2023-05-02,1050.0,0,25.333600000000004,-19.0006
2023-05-01,6014.0,0,-14.667399999999997,-8.667099999999998
2023-04-30,1000.0,0,-6.666999999999998,-8.667099999999998
2023-04-27,1012.0,0,-33.33410000000001,-25.334099999999996
2023-04-27,1012.0,0,-33.33410000000001,-30.3341
2023-04-25,1500.0,0,-9.333699999999997,-14.000500000000002
2023-04-25,1500.0,0,-9.333699999999997,-12.667200000000005
2023-04-25,1295.0,0,-11.000400000000003,-14.000500000000002
2023-04-25,1295.0,0,-11.000400000000003,-12.667200000000005
2023-04-24,1004.0,0,-26.334000000000003,-26.000700000000002
2023-04-24,1004.0,0,-26.334000000000003,-24.333999999999996
2023-04-24,1002.0,0,-33.0008,-26.000700000000002
2023-04-24,1002.0,0,-33.0008,-24.333999999999996
2023-04-20,2500.0,0,-29.40074,-26.600709999999992
2023-04-19,1845.0,0,-10.333699999999997,-24.667299999999997
2023-04-18,1500.0,0,-9.000399999999999,-10.3338
2023-04-18,1500.0,0,-9.000399999999999,-14.000500000000002
2023-04-18,1500.0,0,-9.000399999999999,-24.0007
2023-04-18,1316.0,0,-12.333800000000004,-10.3338
2023-04-18,1316.0,0,-12.333800000000004,-14.000500000000002
2023-04-18,1316.0,0,-12.333800000000004,-24.0007
2023-04-18,1000.0,0,-37.0009,-10.3338
2023-04-18,1000.0,0,-37.0009,-14.000500000000002
2023-04-18,1000.0,0,-37.0009,-24.0007
2023-04-17,1530.0,0,-23.6673,-18.667300000000004
2023-04-17,1530.0,0,-23.6673,-36.6677
2023-04-17,1027.0,0,-24.667399999999997,-18.667300000000004
2023-04-17,1027.0,0,-24.667399999999997,-36.6677
2023-04-17,1230.0,0,-52.3345,-18.667300000000004
2023-04-17,1230.0,0,-52.3345,-36.6677
2023-04-17,1500.0,0,-35.0009,-18.667300000000004
2023-04-17,1500.0,0,-35.0009,-36.6677
2023-04-13,1250.0,0,-34.3675,-29.300719999999995
2023-04-11,1500.0,0,-17.000500000000002,-13.333899999999996
2023-04-11,1500.0,0,-17.000500000000002,-15.333900000000003
2023-04-11,1322.0,0,-20.0006,-13.333899999999996
2023-04-11,1322.0,0,-20.0006,-15.333900000000003
2023-04-10,1003.0,0,-34.334199999999996,-30.6674
2023-04-10,1003.0,0,-34.334199999999996,-6.000300000000003
2023-04-10,1214.0,0,-7.3337,-30.6674
2023-04-10,1214.0,0,-7.3337,-6.000300000000003
2023-04-07,566.0,0,-24.001199999999994,-9.333799999999997
2023-04-04,1500.0,0,-18.3339,-14.667199999999998
2023-04-04,1500.0,0,-18.3339,-14.333900000000003
2023-04-04,1319.0,0,-14.000500000000002,-14.667199999999998
2023-04-04,1319.0,0,-14.000500000000002,-14.333900000000003
2023-04-01,593.0,0,-17.334199999999996,-11.333899999999996
2023-04-01,1048.0,0,-16.000799999999998,-11.333899999999996
2023-03-31,1089.0,0,-16.333800000000004,-19.000600000000002
