Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1223755,3-Oct-18,Pennsylvania,Philadelphia,5101 Germantown Ave,1,4,0,0,0,N/A
1221758,1-Oct-18,Illinois,Chicago,500 block of S Michigan Ave,2,2,0,0,1,N/A
1221794,30-Sep-18,California,Compton,1300 E Palmer St,1,3,0,0,0,N/A
1220912,29-Sep-18,Florida,Orlando,1700 block of 24th St,1,4,0,0,2,N/A
1220331,28-Sep-18,Pennsylvania,Philadelphia,5100 block of Haverford Ave,2,2,0,0,0,N/A
1217150,24-Sep-18,Tennessee,Memphis,1528 Ragan St,3,2,0,0,0,N/A
1215987,23-Sep-18,California,Bakersfield,2600 block of Chandler Court,1,4,0,0,0,N/A
1215954,23-Sep-18,California,Baldwin Park,3700 block of Loma Lane,0,4,0,0,0,N/A
1215904,22-Sep-18,New York,Hempstead,Dolan St,0,4,0,0,0,N/A
1215739,21-Sep-18,District of Columbia,Washington,1800 block of Benning Rd NE,0,4,0,0,2,N/A
1213926,20-Sep-18,Maryland,Aberdeen,1501 Perryman Rd,3,3,1,0,0,N/A
1214298,20-Sep-18,New York,Syracuse,1317 Midland Ave,0,5,0,0,0,N/A
1213223,19-Sep-18,Wisconsin,Middleton,1850 Deming Way,0,4,1,0,0,N/A
1213836,19-Sep-18,Illinois,Chicago,W Cermak Rd and S State St,0,4,0,0,0,N/A
1213293,19-Sep-18,Pennsylvania,Masontown,1 E Church St,0,4,1,0,0,N/A
1212984,18-Sep-18,Louisiana,New Orleans (Algiers),1100 block of Sumner St,0,4,0,0,0,N/A
1212567,18-Sep-18,Tennessee,Memphis,4622 Faronia Rd,0,4,0,0,5,N/A
1211659,17-Sep-18,Maryland,Silver Spring,123 Amberleigh Dr,3,1,1,0,0,N/A
1210742,15-Sep-18,Wisconsin,Milwaukee,820 S 21st St,0,4,0,0,0,N/A
1209006,12-Sep-18,California,Bakersfield,660 Manwell Blvd,5,0,1,0,0,N/A
1208397,11-Sep-18,Illinois,Chicago,10600 block of S Bensley Avenue,0,4,0,0,0,N/A
1206828,10-Sep-18,Tennessee,Memphis,140 Lt George W Lee Ave,0,5,0,0,1,N/A
1206409,9-Sep-18,Illinois,Elgin,550 S McLean Blvd,1,3,0,0,0,N/A
1206375,9-Sep-18,Alabama,Auburn,224 W Magnolia St,1,4,0,0,2,N/A
