cycle,branch,type,matchup,forecastdate,state,startdate,enddate,samplesize,population,poll_wt,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,poll_id
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/22/2016,10/24/2016,2609.0,likely voters,0.0280523,43.91703,41.25808,4.321379,0.0,0.0,47341
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Hawaii,10/17/2016,10/25/2016,459.0,likely voters,0.0280312,47.50114,34.8877,5.532886,0.0,0.0,47484
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/17/2016,10/25/2016,779.0,likely voters,0.0279462,47.48177,38.01274,6.532886,0.0,0.0,47502
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Delaware,10/4/2016,10/9/2016,103.0,likely voters,0.0279343,45.90622,36.32273,2.524472,0.0,0.0,46694
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Connecticut,8/9/2016,9/1/2016,1053.0,registered voters,0.0277201,46.36649,37.7981,5.191333,0.0,0.0,45349
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Indiana,7/20/2016,7/21/2016,503.0,registered voters,0.0275543,37.53848,50.33765,0.0,0.0,0.0,44693
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/13/2016,10/19/2016,1360.0,likely voters,0.0274932,47.28788,43.19397,0.0,0.0,0.0,47242
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Maryland,10/17/2016,10/25/2016,915.0,likely voters,0.0274272,59.54734,27.58945,2.532886,0.0,0.0,47493
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Iowa,7/13/2016,7/15/2016,998.0,likely voters,0.0274108,41.81918,43.03464,1.37809,0.0,0.0,44609
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kentucky,10/17/2016,10/25/2016,366.0,likely voters,0.0274098,27.54324,60.61596,3.532886,0.0,0.0,47490
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/19/2016,10/23/2016,1500.0,likely voters,0.027253,41.24649,44.95697,4.081309,0.0,0.0,47247
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/19/2016,10/25/2016,3145.0,likely voters,0.0271595,44.8866,43.23159,0.0,0.0,0.0,47467
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Tennessee,8/9/2016,9/1/2016,1021.0,registered voters,0.0270852,33.116,55.42523,3.191333,0.0,0.0,45384
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kentucky,9/23/2016,10/6/2016,370.0,likely voters,0.0270136,36.4762,57.48925,0.0,0.0,0.0,46647
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Maine,8/9/2016,9/1/2016,715.0,registered voters,0.0268853,39.5146,39.01855,8.191334,0.0,0.0,45361
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Louisiana,10/10/2016,10/14/2016,280.0,likely voters,0.0266339,30.95084,57.25845,4.264734,0.0,0.0,46974
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,8/2/2016,8/5/2016,993.0,likely voters,0.0266069,44.50664,44.40094,2.216389,0.0,0.0,44785
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,8/9/2016,9/1/2016,1801.0,registered voters,0.0265957,36.11371,47.42183,7.191333,0.0,0.0,45367
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,7/26/2016,7/27/2016,655.0,registered voters,0.0264961,44.83921,49.05702,0.0,0.0,0.0,44714
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,District of Columbia,10/4/2016,10/9/2016,61.0,likely voters,0.0264262,63.54445,23.6643,2.294472,0.0,0.0,46693
